,Latitude,Longitude,NOx,Normalized
143,44.75,11.194724,11.40494,0.40347824
144,44.75,11.213568,11.277188,0.3989587
145,44.75,11.232412,11.150363,0.39447194
146,44.75,11.251256,11.024782,0.3900292
147,44.75,11.270101,10.900714,0.38563997
148,44.75,11.288945,10.778427,0.38131377
149,44.75,11.307789,10.658156,0.3770589
150,44.75,11.326633,10.540104,0.3728825
151,44.75,11.345477,10.424467,0.36879155
152,44.75,11.364322,10.311392,0.36479124
153,44.75,11.383165,10.201029,0.36088687
154,44.75,11.40201,10.093484,0.3570822
155,44.75,11.420855,9.988856,0.35338074
156,44.75,11.439698,9.887225,0.34978527
157,44.75,11.458543,9.788638,0.34629753
158,44.75,11.477386,9.693142,0.3429191
159,44.75,11.496231,9.600756,0.33965072
160,44.75,11.515076,9.511489,0.3364927
161,44.75,11.533919,9.425344,0.3334451
162,44.75,11.552764,9.342299,0.33050716
163,44.75,11.571608,9.262335,0.32767823
164,44.75,11.590452,9.18541,0.3249568
165,44.75,11.609297,9.111484,0.32234147
166,44.75,11.62814,9.040512,0.3198307
167,44.75,11.646985,8.97243,0.31742212
168,44.75,11.665829,8.907183,0.31511384
169,44.75,11.684673,8.8447,0.31290334
170,44.75,11.703518,8.784914,0.31078827
171,44.75,11.722362,8.727755,0.30876613
172,44.75,11.741206,8.673142,0.30683407
173,44.75,11.76005,8.621005,0.30498958
174,44.75,11.778894,8.571261,0.30322978
175,44.75,11.797739,8.523833,0.30155188
176,44.75,11.816583,8.478644,0.29995322
177,44.75,11.835427,8.435611,0.2984308
178,44.75,11.854271,8.394659,0.29698202
179,44.75,11.873116,8.355706,0.29560396
180,44.75,11.89196,8.318677,0.29429397
181,44.75,11.910804,8.283497,0.2930494
182,44.75,11.929648,8.250089,0.2918675
183,44.75,11.948492,8.21838,0.2907457
184,44.75,11.967337,8.188298,0.2896815
185,44.75,11.986181,8.159773,0.28867233
186,44.75,12.005025,8.132739,0.28771594
187,44.75,12.0238695,8.107125,0.2868098
188,44.75,12.042713,8.082871,0.28595176
189,44.75,12.061558,8.059913,0.28513953
190,44.75,12.080402,8.038189,0.28437102
191,44.75,12.099246,8.017643,0.28364414
192,44.75,12.118091,7.9982166,0.2829569
193,44.75,12.136934,7.9798574,0.2823074
194,44.75,12.155779,7.9625115,0.28169373
195,44.75,12.1746235,7.94613,0.2811142
196,44.75,12.193467,7.930664,0.28056705
197,44.75,12.212312,7.916067,0.28005064
198,44.75,12.231155,7.9022956,0.27956343
199,44.75,12.25,7.8893056,0.27910388
200,44.76055,8.5,7.7568164,0.27441674
201,44.76055,8.518845,7.8196077,0.27663815
202,44.76055,8.537688,7.888359,0.2790704
203,44.76055,8.556533,7.963354,0.28172353
204,44.76055,8.5753765,8.044861,0.28460705
205,44.76055,8.594221,8.133139,0.2877301
206,44.76055,8.613066,8.228427,0.29110116
207,44.76055,8.631909,8.330942,0.2947279
208,44.76055,8.650754,8.44088,0.2986172
209,44.76055,8.669598,8.558401,0.30277482
210,44.76055,8.688442,8.68364,0.30720544
211,44.76055,8.707287,8.81668,0.31191206
212,44.76055,8.7261305,8.957544,0.3168955
213,44.76055,8.744975,9.106234,0.32215574
214,44.76055,8.763819,9.262649,0.32768932
215,44.76055,8.782663,9.426661,0.33349165
216,44.76055,8.801508,9.598055,0.33955517
217,44.76055,8.820352,9.776506,0.34586832
218,44.76055,8.839196,9.961672,0.35241902
219,44.76055,8.85804,10.153059,0.3591898
220,44.76055,8.876884,10.350145,0.36616224
221,44.76055,8.895729,10.552271,0.37331292
222,44.76055,8.914573,10.758719,0.38061658
223,44.76055,8.933417,10.968701,0.3880452
224,44.76055,8.952261,11.181339,0.3955678
225,44.76055,8.971106,11.395719,0.403152
226,44.76055,8.98995,11.610842,0.41076252
227,44.76055,9.008794,11.825693,0.41836342
228,44.76055,9.027638,12.039245,0.42591834
229,44.76055,9.046482,12.25045,0.43339026
230,44.76055,9.065327,12.458296,0.44074333
231,44.76055,9.084171,12.661772,0.4479418
232,44.76055,9.103015,12.85993,0.45495215
233,44.76055,9.12186,13.051881,0.46174288
234,44.76055,9.140703,13.236801,0.4682849
235,44.76055,9.159548,13.413982,0.47455314
236,44.76055,9.178392,13.5827675,0.48052433
237,44.76055,9.197236,13.742617,0.48617938
238,44.76055,9.216081,13.893131,0.49150422
239,44.76055,9.234924,14.033968,0.49648666
240,44.76055,9.253769,14.16493,0.5011198
241,44.76055,9.272614,14.285923,0.5054002
242,44.76055,9.291457,14.396936,0.5093276
243,44.76055,9.310302,14.498085,0.51290596
244,44.76055,9.329145,14.589544,0.51614153
245,44.76055,9.34799,14.671595,0.5190443
246,44.76055,9.366835,14.744568,0.52162594
247,44.76055,9.385678,14.808891,0.5239015
248,44.76055,9.404523,14.865004,0.5258866
249,44.76055,9.423367,14.913408,0.52759904
250,44.76055,9.442211,14.954645,0.5290579
251,44.76055,9.461055,14.989258,0.53028244
252,44.76055,9.479899,15.017816,0.53129274
253,44.76055,9.498744,15.040887,0.53210896
254,44.76055,9.517588,15.059023,0.53275055
255,44.76055,9.536432,15.072776,0.5332371
256,44.76055,9.555276,15.08267,0.5335871
257,44.76055,9.5741205,15.089216,0.5338187
258,44.76055,9.592965,15.092888,0.5339486
259,44.76055,9.611809,15.094113,0.53399193
260,44.76055,9.630653,15.093302,0.53396326
261,44.76055,9.649497,15.090812,0.53387517
262,44.76055,9.668342,15.086967,0.53373915
263,44.76055,9.687186,15.082048,0.5335651
264,44.76055,9.70603,15.076292,0.5333615
265,44.76055,9.7248745,15.069899,0.5331353
266,44.76055,9.743718,15.063033,0.5328924
267,44.76055,9.762563,15.055805,0.5326367
268,44.76055,9.781407,15.048307,0.53237146
269,44.76055,9.800251,15.040594,0.5320986
270,44.76055,9.819096,15.032694,0.5318191
271,44.76055,9.837939,15.024592,0.53153247
272,44.76055,9.856784,15.016279,0.5312384
273,44.76055,9.875628,15.007702,0.53093493
274,44.76055,9.894472,14.998804,0.53062016
275,44.76055,9.913317,14.989519,0.5302917
276,44.76055,9.93216,14.979773,0.52994686
277,44.76055,9.951005,14.969487,0.529583
278,44.76055,9.96985,14.958578,0.52919704
279,44.76055,9.988693,14.946981,0.5287868
280,44.76055,10.007538,14.934633,0.52834994
281,44.76055,10.0263815,14.921478,0.52788454
282,44.76055,10.045226,14.90748,0.52738935
283,44.76055,10.064071,14.892617,0.5268635
284,44.76055,10.082914,14.876883,0.52630687
285,44.76055,10.101759,14.860294,0.52572
286,44.76055,10.120603,14.842882,0.52510405
287,44.76055,10.139447,14.8246975,0.5244607
288,44.76055,10.158292,14.805805,0.5237923
289,44.76055,10.177135,14.786285,0.52310175
290,44.76055,10.19598,14.766228,0.52239215
291,44.76055,10.214824,14.745738,0.5216673
292,44.76055,10.233668,14.724913,0.5209305
293,44.76055,10.252513,14.703863,0.5201859
294,44.76055,10.271357,14.682688,0.5194367
295,44.76055,10.290201,14.66148,0.5186865
296,44.76055,10.309045,14.640316,0.5179377
297,44.76055,10.327889,14.619268,0.51719314
298,44.76055,10.346734,14.598373,0.5164539
299,44.76055,10.365578,14.57766,0.51572114
300,44.76055,10.384422,14.557115,0.51499426
