,Latitude,Longitude,NO2,Normalized
0,44.75,8.4,12.554569,0.33250412
1,44.75,8.478572,12.554458,0.33250117
2,44.75,8.557143,12.5539465,0.33248764
3,44.75,8.635715,12.552041,0.3324372
4,44.75,8.714286,12.546796,0.33229825
5,44.75,8.792857,12.538364,0.33207497
6,44.75,8.8714285,12.536938,0.33203718
7,44.75,8.95,12.554719,0.33250812
8,44.75,9.028571,12.575718,0.33306426
9,44.75,9.107142,12.577397,0.33310872
10,44.75,9.185715,12.567933,0.3328581
11,44.75,9.264286,12.560412,0.3326589
12,44.75,9.342857,12.556937,0.33256686
13,44.75,9.421429,12.555935,0.3325403
14,44.75,9.5,12.556276,0.33254933
15,44.75,9.578571,12.557304,0.33257657
16,44.75,9.657143,12.558228,0.33260104
17,44.75,9.735714,12.558382,0.33260512
18,44.75,9.814285,12.558211,0.3326006
19,44.75,9.892858,12.559126,0.33262482
20,44.75,9.971429,12.561409,0.3326853
21,44.75,10.05,12.563009,0.33272767
22,44.75,10.1285715,12.562686,0.33271912
23,44.75,10.207143,12.564403,0.33276457
24,44.75,10.285714,12.580822,0.33319944
25,44.75,10.364285,12.638479,0.33472648
26,44.75,10.442857,12.749803,0.33767483
27,44.75,10.521428,12.816454,0.33944008
28,44.75,10.6,12.739573,0.3374039
29,44.75,10.678572,12.633244,0.3345878
30,44.75,10.757143,12.580906,0.33320165
31,44.75,10.835714,12.560995,0.33267432
32,44.75,10.914286,12.545325,0.33225933
33,44.75,10.992857,12.525085,0.33172327
34,44.75,11.071428,12.509081,0.3312994
35,44.75,11.15,12.510091,0.33132613
36,44.75,11.228572,12.524619,0.3317109
37,44.75,11.307143,12.539901,0.33211565
38,44.75,11.385715,12.54914,0.33236036
39,44.75,11.464286,12.552988,0.33246225
40,44.75,11.542857,12.554199,0.33249435
41,44.75,11.6214285,12.55451,0.33250257
42,44.75,11.7,12.554579,0.3325044
43,44.75,11.778571,12.554592,0.33250475
44,44.75,11.857142,12.554594,0.33250478
45,44.75,11.935715,12.554595,0.3325048
46,44.75,12.014286,12.554595,0.3325048
47,44.75,12.092857,12.554595,0.3325048
48,44.75,12.171429,12.554595,0.3325048
49,44.75,12.25,12.554595,0.3325048
