,Latitude,Longitude,PM2.5,Normalized
126,44.75,10.874372,11.162327,0.8333693
127,44.75,10.893216,11.103292,0.82896185
128,44.75,10.912061,11.04411,0.82454336
129,44.75,10.930904,10.984823,0.82011706
130,44.75,10.949749,10.925431,0.8156829
131,44.75,10.968593,10.865988,0.8112449
132,44.75,10.987437,10.806508,0.80680424
133,44.75,11.006282,10.747008,0.802362
134,44.75,11.0251255,10.687527,0.7979212
135,44.75,11.04397,10.628078,0.79348284
136,44.75,11.062814,10.568691,0.789049
137,44.75,11.081658,10.509387,0.7846214
138,44.75,11.100503,10.450185,0.78020144
139,44.75,11.119347,10.391113,0.7757912
140,44.75,11.138191,10.332178,0.77139115
141,44.75,11.157035,10.273403,0.76700306
142,44.75,11.1758795,10.214826,0.76262975
143,44.75,11.194724,10.156445,0.75827104
144,44.75,11.213568,10.098282,0.75392866
145,44.75,11.232412,10.040356,0.749604
146,44.75,11.251256,9.982685,0.7452983
147,44.75,11.270101,9.925281,0.7410126
148,44.75,11.288945,9.868158,0.73674786
149,44.75,11.307789,9.811333,0.7325053
150,44.75,11.326633,9.754823,0.7282863
151,44.75,11.345477,9.698639,0.7240917
152,44.75,11.364322,9.642785,0.7199217
153,44.75,11.383165,9.587278,0.71577764
154,44.75,11.40201,9.532142,0.71166116
155,44.75,11.420855,9.4773655,0.7075716
156,44.75,11.439698,9.422972,0.70351064
157,44.75,11.458543,9.368968,0.69947875
158,44.75,11.477386,9.31536,0.6954764
159,44.75,11.496231,9.262159,0.69150454
160,44.75,11.515076,9.209374,0.68756366
161,44.75,11.533919,9.15701,0.6836542
162,44.75,11.552764,9.105076,0.6797768
163,44.75,11.571608,9.053577,0.675932
164,44.75,11.590452,9.002516,0.6721198
165,44.75,11.609297,8.9519005,0.66834086
166,44.75,11.62814,8.901741,0.664596
167,44.75,11.646985,8.852033,0.66088486
168,44.75,11.665829,8.802788,0.65720826
169,44.75,11.684673,8.75401,0.65356654
170,44.75,11.703518,8.705696,0.6499595
171,44.75,11.722362,8.657853,0.6463876
172,44.75,11.741206,8.610491,0.64285153
173,44.75,11.76005,8.5636015,0.63935083
174,44.75,11.778894,8.517188,0.63588566
175,44.75,11.797739,8.471254,0.63245624
176,44.75,11.816583,8.425816,0.62906384
177,44.75,11.835427,8.380848,0.6257066
178,44.75,11.854271,8.336376,0.6223864
179,44.75,11.873116,8.292382,0.6191018
180,44.75,11.89196,8.24888,0.615854
181,44.75,11.910804,8.20586,0.61264217
182,44.75,11.929648,8.163333,0.60946715
183,44.75,11.948492,8.121285,0.6063279
184,44.75,11.967337,8.079734,0.6032257
185,44.75,11.986181,8.038672,0.60016006
186,44.75,12.005025,7.998082,0.59712964
187,44.75,12.0238695,7.9579926,0.5941366
188,44.75,12.042713,7.918375,0.5911788
189,44.75,12.061558,7.879252,0.5882579
190,44.75,12.080402,7.8405986,0.5853721
191,44.75,12.099246,7.8024316,0.5825226
192,44.75,12.118091,7.764742,0.5797087
193,44.75,12.136934,7.7275314,0.5769306
194,44.75,12.155779,7.69079,0.5741875
195,44.75,12.1746235,7.654526,0.5714801
196,44.75,12.193467,7.6187234,0.56880707
197,44.75,12.212312,7.5833993,0.5661698
198,44.75,12.231155,7.548539,0.56356716
199,44.75,12.25,7.514142,0.5609991
200,44.76055,8.5,11.882818,0.88716054
201,44.76055,8.518845,11.916208,0.88965344
202,44.76055,8.537688,11.949463,0.8921362
203,44.76055,8.556533,11.982582,0.89460886
204,44.76055,8.5753765,12.015558,0.8970708
205,44.76055,8.594221,12.048395,0.8995224
206,44.76055,8.613066,12.081089,0.9019633
207,44.76055,8.631909,12.113609,0.9043912
208,44.76055,8.650754,12.145959,0.9068064
209,44.76055,8.669598,12.178145,0.90920943
210,44.76055,8.688442,12.21015,0.91159886
211,44.76055,8.707287,12.241968,0.9139744
212,44.76055,8.7261305,12.273588,0.9163351
213,44.76055,8.744975,12.305006,0.9186807
214,44.76055,8.763819,12.336217,0.9210109
215,44.76055,8.782663,12.367207,0.9233246
216,44.76055,8.801508,12.397974,0.9256216
217,44.76055,8.820352,12.428509,0.9279013
218,44.76055,8.839196,12.458789,0.930162
219,44.76055,8.85804,12.488829,0.93240476
220,44.76055,8.876884,12.518601,0.9346276
221,44.76055,8.895729,12.5480995,0.93682986
222,44.76055,8.914573,12.577324,0.93901175
223,44.76055,8.933417,12.60625,0.94117135
224,44.76055,8.952261,12.634872,0.94330823
225,44.76055,8.971106,12.663188,0.9454223
226,44.76055,8.98995,12.691172,0.9475115
227,44.76055,9.008794,12.718823,0.94957596
228,44.76055,9.027638,12.746126,0.9516144
229,44.76055,9.046482,12.773067,0.9536258
230,44.76055,9.065327,12.799632,0.9556091
231,44.76055,9.084171,12.825791,0.9575621
232,44.76055,9.103015,12.851569,0.95948666
233,44.76055,9.12186,12.876911,0.96137863
234,44.76055,9.140703,12.901825,0.9632387
235,44.76055,9.159548,12.9262905,0.9650653
236,44.76055,9.178392,12.950281,0.9668564
237,44.76055,9.197236,12.973785,0.9686112
238,44.76055,9.216081,12.996777,0.9703277
239,44.76055,9.234924,13.019246,0.97200525
240,44.76055,9.253769,13.041176,0.9736425
241,44.76055,9.272614,13.062541,0.9752376
242,44.76055,9.291457,13.083303,0.97678775
243,44.76055,9.310302,13.103466,0.97829306
244,44.76055,9.329145,13.122992,0.9797508
245,44.76055,9.34799,13.141875,0.98116064
246,44.76055,9.366835,13.160067,0.9825188
247,44.76055,9.385678,13.177561,0.9838249
248,44.76055,9.404523,13.194321,0.9850762
249,44.76055,9.423367,13.210336,0.98627186
250,44.76055,9.442211,13.2255745,0.98740953
251,44.76055,9.461055,13.239992,0.98848593
252,44.76055,9.479899,13.253595,0.98950154
253,44.76055,9.498744,13.266336,0.9904528
254,44.76055,9.517588,13.278188,0.9913376
255,44.76055,9.536432,13.289135,0.9921549
256,44.76055,9.555276,13.299149,0.9929025
257,44.76055,9.5741205,13.308196,0.993578
258,44.76055,9.592965,13.316259,0.99418
259,44.76055,9.611809,13.3232975,0.99470544
260,44.76055,9.630653,13.329298,0.9951534
261,44.76055,9.649497,13.334234,0.99552196
262,44.76055,9.668342,13.338084,0.99580944
263,44.76055,9.687186,13.340818,0.9960136
264,44.76055,9.70603,13.342412,0.99613255
265,44.76055,9.7248745,13.342845,0.99616486
266,44.76055,9.743718,13.342095,0.9961089
267,44.76055,9.762563,13.34015,0.99596363
268,44.76055,9.781407,13.336971,0.99572635
269,44.76055,9.800251,13.3325615,0.9953971
270,44.76055,9.819096,13.326897,0.9949742
271,44.76055,9.837939,13.319956,0.994456
272,44.76055,9.856784,13.311727,0.9938416
273,44.76055,9.875628,13.302197,0.99313015
274,44.76055,9.894472,13.291356,0.9923207
275,44.76055,9.913317,13.279204,0.99141353
276,44.76055,9.93216,13.265711,0.9904061
277,44.76055,9.951005,13.250892,0.9892997
278,44.76055,9.96985,13.234722,0.9880925
279,44.76055,9.988693,13.217222,0.98678595
280,44.76055,10.007538,13.198369,0.9853784
281,44.76055,10.0263815,13.178178,0.983871
282,44.76055,10.045226,13.156643,0.9822632
283,44.76055,10.064071,13.133772,0.98055565
284,44.76055,10.082914,13.10957,0.97874874
285,44.76055,10.101759,13.084042,0.9768428
286,44.76055,10.120603,13.0572,0.9748389
287,44.76055,10.139447,13.02906,0.97273797
288,44.76055,10.158292,12.999626,0.97054046
289,44.76055,10.177135,12.968915,0.9682476
290,44.76055,10.19598,12.936938,0.96586025
291,44.76055,10.214824,12.903733,0.9633812
292,44.76055,10.233668,12.869299,0.96081036
293,44.76055,10.252513,12.833656,0.9581493
294,44.76055,10.271357,12.796846,0.9554011
295,44.76055,10.290201,12.758865,0.9525655
296,44.76055,10.309045,12.719747,0.94964486
297,44.76055,10.327889,12.679522,0.94664174
298,44.76055,10.346734,12.638214,0.94355774
299,44.76055,10.365578,12.59585,0.9403949
300,44.76055,10.384422,12.55245,0.9371547
301,44.76055,10.403266,12.508056,0.9338402
302,44.76055,10.422111,12.462688,0.9304532
303,44.76055,10.440955,12.416381,0.9269959
304,44.76055,10.459799,12.369162,0.92347056
305,44.76055,10.478643,12.321072,0.91988015
306,44.76055,10.497487,12.2721405,0.91622704
307,44.76055,10.516332,12.222387,0.9125125
308,44.76055,10.535176,12.171848,0.90873927
309,44.76055,10.55402,12.120568,0.9049108
310,44.76055,10.572865,12.068573,0.9010289
311,44.76055,10.591708,12.015898,0.89709616
312,44.76055,10.610553,11.962572,0.8931149
313,44.76055,10.629397,11.90863,0.8890877
314,44.76055,10.648241,11.854112,0.88501734
315,44.76055,10.667086,11.799052,0.8809067
316,44.76055,10.685929,11.743472,0.8767571
317,44.76055,10.704774,11.687408,0.87257147
318,44.76055,10.7236185,11.6309,0.8683526
319,44.76055,10.742462,11.573978,0.86410284
320,44.76055,10.761307,11.516678,0.85982484
321,44.76055,10.78015,11.459013,0.85551965
322,44.76055,10.798995,11.40103,0.8511907
323,44.76055,10.81784,11.342762,0.84684044
324,44.76055,10.836683,11.284237,0.842471
325,44.76055,10.855528,11.225481,0.83808434
326,44.76055,10.874372,11.166527,0.8336829
327,44.76055,10.893216,11.107401,0.82926863
328,44.76055,10.912061,11.048133,0.8248437
329,44.76055,10.930904,10.988739,0.8204094
330,44.76055,10.949749,10.929272,0.81596965
331,44.76055,10.968593,10.869737,0.8115248
332,44.76055,10.987437,10.8101635,0.8070771
333,44.76055,11.006282,10.750574,0.8026282
334,44.76055,11.0251255,10.691013,0.7981815
335,44.76055,11.04397,10.63148,0.7937368
336,44.76055,11.062814,10.572016,0.7892972
337,44.76055,11.081658,10.51263,0.7848636
338,44.76055,11.100503,10.453344,0.78043735
339,44.76055,11.119347,10.39419,0.7760209
340,44.76055,11.138191,10.3351755,0.77161497
341,44.76055,11.157035,10.276339,0.7672222
342,44.76055,11.1758795,10.21768,0.76284283
343,44.76055,11.194724,10.159217,0.75847805
344,44.76055,11.213568,10.100987,0.75413066
345,44.76055,11.232412,10.042983,0.74980015
346,44.76055,11.251256,9.985245,0.7454894
347,44.76055,11.270101,9.92777,0.7411984
