,Latitude,Longitude,NOx_2019,NOx_2020,NOx_2019_Norm,NOx_2020_Norm
91,44.45,11.830808,3.220007,3.5624242,0.06845262,0.0757319
92,44.45,11.8707075,3.2111812,3.5078094,0.06826499,0.07457087
93,44.45,11.910606,3.2039902,3.4598513,0.06811213,0.07355136
94,44.45,11.950505,3.1981716,3.4179125,0.067988425,0.0726598
95,44.45,11.990404,3.1934943,3.3813815,0.067889,0.0718832
96,44.45,12.030303,3.1897569,3.3496764,0.067809545,0.0712092
97,44.45,12.070202,3.1867874,3.3222537,0.067746416,0.07062623
98,44.45,12.110101,3.1844404,3.2986112,0.06769653,0.07012363
99,44.45,12.15,3.1825945,3.2782888,0.067657284,0.069691606
100,44.47222,8.2,3.225657,3.2120152,0.06857273,0.06828272
101,44.47222,8.239899,3.2371814,3.2252264,0.06881772,0.06856357
102,44.47222,8.279798,3.2509458,3.2416,0.069110334,0.06891166
103,44.47222,8.319697,3.2672448,3.2617564,0.06945682,0.06934015
104,44.47222,8.359596,3.28637,3.2864022,0.0698634,0.06986408
105,44.47222,8.399495,3.3085957,3.316319,0.07033588,0.07050007
106,44.47222,8.439394,3.3341599,3.3523633,0.07087934,0.071266316
107,44.47222,8.479293,3.363241,3.3954408,0.07149756,0.07218208
108,44.47222,8.519192,3.3959372,3.4464824,0.07219263,0.073267154
109,44.47222,8.559091,3.43224,3.506401,0.07296438,0.074540935
110,44.47222,8.5989895,3.4720073,3.5760338,0.07380977,0.076021224
111,44.47222,8.638889,3.5149412,3.6560874,0.074722484,0.07772305
112,44.47222,8.678788,3.5605702,3.7470467,0.07569249,0.079656705
113,44.47222,8.718687,3.6082385,3.8490977,0.07670585,0.081826165
114,44.47222,8.758586,3.6571105,3.9620516,0.0777448,0.0842274
115,44.47222,8.798485,3.7061849,4.0852685,0.07878804,0.086846806
116,44.47222,8.838384,3.7543373,4.217622,0.07981169,0.08966044
117,44.47222,8.878283,3.8003805,4.357491,0.080790505,0.09263386
118,44.47222,8.918181,3.8431447,4.5028014,0.08169961,0.09572294
119,44.47222,8.958081,3.8815808,4.6511097,0.08251671,0.09887576
120,44.47222,8.99798,3.9148595,4.799732,0.08322416,0.102035254
121,44.47222,9.037879,3.942474,4.945911,0.0838112,0.1051428
122,44.47222,9.077778,3.964306,5.086996,0.08427532,0.10814206
123,44.47222,9.117677,3.980655,5.2205963,0.084622875,0.11098221
124,44.47222,9.157576,3.9922261,5.344741,0.08486886,0.11362134
125,44.47222,9.1974745,4.0000663,5.457955,0.08503553,0.1160281
126,44.47222,9.237373,4.0054636,5.559326,0.08515027,0.118183106
