,Latitude,Longitude,NOx,Normalized
0,44.75,8.5,10.477585,0.2275462
1,44.75,8.518845,10.49,0.22781582
2,44.75,8.537688,10.50372,0.2281138
3,44.75,8.556533,10.518861,0.22844261
4,44.75,8.5753765,10.53555,0.22880505
5,44.75,8.594221,10.553925,0.2292041
6,44.75,8.613066,10.574128,0.22964287
7,44.75,8.631909,10.596331,0.23012505
8,44.75,8.650754,10.62071,0.23065452
9,44.75,8.669598,10.647453,0.23123531
10,44.75,8.688442,10.676777,0.23187214
11,44.75,8.707287,10.708899,0.23256974
12,44.75,8.7261305,10.7440405,0.23333293
13,44.75,8.744975,10.78245,0.23416708
14,44.75,8.763819,10.824339,0.2350768
15,44.75,8.782663,10.869941,0.23606716
16,44.75,8.801508,10.91943,0.23714194
17,44.75,8.820352,10.972955,0.23830436
18,44.75,8.839196,11.030611,0.2395565
19,44.75,8.85804,11.092401,0.24089842
20,44.75,8.876884,11.158242,0.24232833
21,44.75,8.895729,11.227952,0.24384224
22,44.75,8.914573,11.3012085,0.24543318
23,44.75,8.933417,11.37759,0.24709201
24,44.75,8.952261,11.456541,0.24880661
25,44.75,8.971106,11.537412,0.2505629
26,44.75,8.98995,11.619457,0.25234473
27,44.75,9.008794,11.70185,0.2541341
28,44.75,9.027638,11.783754,0.25591284
29,44.75,9.046482,11.864303,0.25766215
30,44.75,9.065327,11.942678,0.25936428
31,44.75,9.084171,12.018109,0.26100242
32,44.75,9.103015,12.0899105,0.26256177
33,44.75,9.12186,12.157521,0.2640301
34,44.75,9.140703,12.2205,0.26539785
35,44.75,9.159548,12.2785635,0.2666588
36,44.75,9.178392,12.331569,0.26780996
37,44.75,9.197236,12.379528,0.26885152
38,44.75,9.216081,12.422607,0.2697871
39,44.75,9.234924,12.461107,0.2706232
40,44.75,9.253769,12.49545,0.27136904
41,44.75,9.272614,12.526161,0.27203602
42,44.75,9.291457,12.553829,0.2726369
43,44.75,9.310302,12.579121,0.27318615
44,44.75,9.329145,12.602705,0.27369836
45,44.75,9.34799,12.625254,0.27418804
46,44.75,9.366835,12.647417,0.27466938
47,44.75,9.385678,12.6697855,0.27515516
48,44.75,9.404523,12.6928835,0.2756568
49,44.75,9.423367,12.717144,0.27618366
50,44.75,9.442211,12.742889,0.2767428
51,44.75,9.461055,12.770345,0.27733904
52,44.75,9.479899,12.799608,0.27797458
53,44.75,9.498744,12.830681,0.2786494
54,44.75,9.517588,12.863445,0.27936095
55,44.75,9.536432,12.897713,0.28010514
56,44.75,9.555276,12.93321,0.28087607
57,44.75,9.5741205,12.96963,0.28166702
58,44.75,9.592965,13.006621,0.28247038
59,44.75,9.611809,13.043833,0.2832785
60,44.75,9.630653,13.080952,0.28408465
61,44.75,9.649497,13.117697,0.28488263
62,44.75,9.668342,13.153848,0.28566775
63,44.75,9.687186,13.189265,0.28643692
64,44.75,9.70603,13.223867,0.28718838
65,44.75,9.7248745,13.257668,0.28792244
66,44.75,9.743718,13.290729,0.28864044
67,44.75,9.762563,13.32316,0.2893448
68,44.75,9.781407,13.355097,0.29003835
69,44.75,9.800251,13.386659,0.2907238
70,44.75,9.819096,13.417938,0.2914031
71,44.75,9.837939,13.448959,0.29207683
72,44.75,9.856784,13.479666,0.29274368
73,44.75,9.875628,13.509905,0.2934004
74,44.75,9.894472,13.539403,0.294041
75,44.75,9.913317,13.567811,0.29465798
76,44.75,9.93216,13.594685,0.2952416
77,44.75,9.951005,13.619525,0.29578105
