,Latitude,Longitude,PM10,Normalized
122,44.75,10.798995,2.3492208,0.99876875
123,44.75,10.81784,2.349289,0.9987977
124,44.75,10.836683,2.3493552,0.9988259
125,44.75,10.855528,2.3494196,0.99885327
126,44.75,10.874372,2.349482,0.99887985
127,44.75,10.893216,2.3495424,0.9989055
128,44.75,10.912061,2.3496008,0.99893034
129,44.75,10.930904,2.3496573,0.99895436
130,44.75,10.949749,2.349712,0.99897754
131,44.75,10.968593,2.3497646,0.99899995
132,44.75,10.987437,2.3498154,0.99902153
133,44.75,11.006282,2.349864,0.9990422
134,44.75,11.0251255,2.349911,0.9990622
135,44.75,11.04397,2.349956,0.9990814
136,44.75,11.062814,2.3499992,0.9990997
137,44.75,11.081658,2.3500404,0.99911726
138,44.75,11.100503,2.3500798,0.99913394
139,44.75,11.119347,2.3501172,0.99914986
140,44.75,11.138191,2.350153,0.99916506
141,44.75,11.157035,2.350187,0.99917954
142,44.75,11.1758795,2.350219,0.99919313
143,44.75,11.194724,2.3502495,0.9992061
144,44.75,11.213568,2.3502781,0.9992183
145,44.75,11.232412,2.350305,0.9992297
146,44.75,11.251256,2.3503304,0.99924046
147,44.75,11.270101,2.350354,0.99925053
148,44.75,11.288945,2.350376,0.9992598
149,44.75,11.307789,2.3503962,0.9992685
150,44.75,11.326633,2.350415,0.99927646
151,44.75,11.345477,2.350432,0.9992837
152,44.75,11.364322,2.3504477,0.99929035
153,44.75,11.383165,2.3504617,0.9992963
154,44.75,11.40201,2.350474,0.9993016
155,44.75,11.420855,2.3504853,0.9993064
156,44.75,11.439698,2.3504949,0.99931043
157,44.75,11.458543,2.3505032,0.99931395
158,44.75,11.477386,2.35051,0.9993168
159,44.75,11.496231,2.3505154,0.99931914
160,44.75,11.515076,2.3505194,0.99932086
161,44.75,11.533919,2.3505223,0.99932206
162,44.75,11.552764,2.3505237,0.9993227
163,44.75,11.571608,2.350524,0.9993228
164,44.75,11.590452,2.350523,0.9993224
165,44.75,11.609297,2.3505208,0.99932146
166,44.75,11.62814,2.3505173,0.99932
167,44.75,11.646985,2.3505127,0.999318
168,44.75,11.665829,2.3505073,0.9993157
169,44.75,11.684673,2.3505003,0.99931276
170,44.75,11.703518,2.3504925,0.9993094
171,44.75,11.722362,2.3504837,0.99930567
172,44.75,11.741206,2.3504736,0.9993014
173,44.75,11.76005,2.3504627,0.9992967
174,44.75,11.778894,2.350451,0.9992918
175,44.75,11.797739,2.350438,0.9992863
176,44.75,11.816583,2.3504243,0.9992804
177,44.75,11.835427,2.3504097,0.99927425
178,44.75,11.854271,2.350394,0.9992675
179,44.75,11.873116,2.3503778,0.99926066
180,44.75,11.89196,2.3503606,0.99925333
181,44.75,11.910804,2.3503425,0.99924564
182,44.75,11.929648,2.3503237,0.99923766
183,44.75,11.948492,2.3503041,0.9992293
184,44.75,11.967337,2.3502839,0.9992207
185,44.75,11.986181,2.350263,0.9992119
186,44.75,12.005025,2.3502414,0.99920267
187,44.75,12.0238695,2.350219,0.99919313
188,44.75,12.042713,2.3501961,0.9991834
189,44.75,12.061558,2.3501725,0.9991734
190,44.75,12.080402,2.3501484,0.99916315
191,44.75,12.099246,2.3501236,0.9991526
192,44.75,12.118091,2.3500984,0.9991419
193,44.75,12.136934,2.3500724,0.9991308
194,44.75,12.155779,2.3500462,0.99911964
195,44.75,12.1746235,2.3500192,0.9991082
196,44.75,12.193467,2.349992,0.99909663
197,44.75,12.212312,2.3499641,0.9990848
198,44.75,12.231155,2.349936,0.99907285
199,44.75,12.25,2.3499074,0.9990607
200,44.76055,8.5,2.3385198,0.99421924
201,44.76055,8.518845,2.3385344,0.99422544
202,44.76055,8.537688,2.3385503,0.99423224
203,44.76055,8.556533,2.338568,0.99423975
204,44.76055,8.5753765,2.3385875,0.99424803
205,44.76055,8.594221,2.3386085,0.994257
206,44.76055,8.613066,2.3386314,0.9942667
207,44.76055,8.631909,2.338656,0.9942771
208,44.76055,8.650754,2.3386824,0.9942884
209,44.76055,8.669598,2.3387105,0.9943003
210,44.76055,8.688442,2.3387403,0.994313
211,44.76055,8.707287,2.338772,0.9943265
212,44.76055,8.7261305,2.3388057,0.9943408
213,44.76055,8.744975,2.338841,0.9943558
214,44.76055,8.763819,2.3388784,0.9943717
215,44.76055,8.782663,2.3389175,0.99438834
216,44.76055,8.801508,2.3389585,0.99440575
217,44.76055,8.820352,2.3390012,0.9944239
218,44.76055,8.839196,2.339046,0.99444294
219,44.76055,8.85804,2.3390927,0.99446285
220,44.76055,8.876884,2.3391411,0.9944834
221,44.76055,8.895729,2.3391917,0.99450487
222,44.76055,8.914573,2.339244,0.9945271
223,44.76055,8.933417,2.3392982,0.99455017
224,44.76055,8.952261,2.3393543,0.994574
225,44.76055,8.971106,2.3394125,0.99459875
226,44.76055,8.98995,2.3394723,0.9946242
227,44.76055,9.008794,2.3395343,0.99465054
228,44.76055,9.027638,2.339598,0.9946776
229,44.76055,9.046482,2.3396635,0.9947055
230,44.76055,9.065327,2.339731,0.99473417
231,44.76055,9.084171,2.3398001,0.99476355
232,44.76055,9.103015,2.3398714,0.9947939
233,44.76055,9.12186,2.3399444,0.9948249
234,44.76055,9.140703,2.340019,0.9948566
