,Latitude,Longitude,PM10,Normalized
0,44.75,8.5,14.064464,0.6621235
1,44.75,8.57653,14.451619,0.6803499
2,44.75,8.653061,14.848577,0.6990378
3,44.75,8.729591,15.254521,0.7181487
4,44.75,8.806123,15.6681385,0.7376209
5,44.75,8.882653,16.087904,0.7573825
6,44.75,8.959184,16.511658,0.7773319
7,44.75,9.035714,16.936686,0.7973413
8,44.75,9.112245,17.3596,0.81725115
9,44.75,9.188775,17.776814,0.8368926
10,44.75,9.265306,18.184132,0.85606825
11,44.75,9.341837,18.57735,0.8745801
12,44.75,9.418367,18.952007,0.8922181
13,44.75,9.494898,19.303652,0.90877277
14,44.75,9.571428,19.627548,0.92402107
15,44.75,9.647959,19.918827,0.9377338
16,44.75,9.72449,20.172363,0.9496697
17,44.75,9.801021,20.38316,0.95959353
18,44.75,9.877551,20.546883,0.96730125
19,44.75,9.954082,20.660387,0.9726448
20,44.75,10.030612,20.722382,0.97556335
21,44.75,10.107142,20.734062,0.97611326
22,44.75,10.183674,20.698925,0.97445905
23,44.75,10.260204,20.622662,0.97086877
24,44.75,10.336735,20.512661,0.9656902
25,44.75,10.413265,20.377243,0.959315
26,44.75,10.489796,20.225079,0.9521515
27,44.75,10.566326,20.064371,0.9445857
28,44.75,10.642858,19.902378,0.93695945
29,44.75,10.719388,19.74445,0.92952454
30,44.75,10.795918,19.593876,0.9224358
31,44.75,10.872449,19.451408,0.9157288
32,44.75,10.948979,19.315483,0.9093297
33,44.75,11.02551,19.18245,0.9030668
34,44.75,11.102041,19.047443,0.896711
35,44.75,11.178572,18.905235,0.8900162
36,44.75,11.255102,18.750988,0.88275456
37,44.75,11.331633,18.58085,0.8747449
38,44.75,11.408163,18.392273,0.8658671
39,44.75,11.484694,18.183876,0.8560562
40,44.75,11.561225,17.955338,0.8452971
41,44.75,11.637755,17.707172,0.83361405
42,44.75,11.714286,17.440554,0.82106227
43,44.75,11.790816,17.157066,0.8077163
44,44.75,11.867347,16.858612,0.7936657
45,44.75,11.943877,16.547289,0.77900934
46,44.75,12.020409,16.225262,0.763849
47,44.75,12.096939,15.894765,0.74828994
48,44.75,12.17347,15.557933,0.73243266
49,44.75,12.25,15.216851,0.7163753
50,44.79286,8.5,14.170849,0.66713184
51,44.79286,8.57653,14.563029,0.68559486
52,44.79286,8.653061,14.96494,0.7045159
53,44.79286,8.729591,15.375636,0.72385055
54,44.79286,8.806123,15.793962,0.7435444
55,44.79286,8.882653,16.218243,0.7635186
56,44.79286,8.959184,16.646275,0.78366935
57,44.79286,9.035714,17.075321,0.80386794
58,44.79286,9.112245,17.501972,0.8239537
59,44.79286,9.188775,17.92242,0.84374744
60,44.79286,9.265306,18.332424,0.8630495
61,44.79286,9.341837,18.72778,0.88166195
62,44.79286,9.418367,19.103973,0.89937234
63,44.79286,9.494898,19.456533,0.9159701
64,44.79286,9.571428,19.78077,0.93123436
65,44.79286,9.647959,20.07159,0.94492555
66,44.79286,9.72449,20.32385,0.9568014
67,44.79286,9.801021,20.532196,0.96660984
68,44.79286,9.877551,20.691883,0.97412753
69,44.79286,9.954082,20.7995,0.9791939
70,44.79286,10.030612,20.853615,0.98174155
71,44.79286,10.107142,20.855457,0.9818283
72,44.79286,10.183674,20.808788,0.9796312
73,44.79286,10.260204,20.719742,0.9754391
