,Latitude,Longitude,PM10,Normalized
126,44.75,10.874372,20.815048,0.8968509
127,44.75,10.893216,20.784409,0.89553076
128,44.75,10.912061,20.752546,0.8941579
129,44.75,10.930904,20.719406,0.89273
130,44.75,10.949749,20.684929,0.8912445
131,44.75,10.968593,20.64906,0.889699
132,44.75,10.987437,20.61172,0.88809013
133,44.75,11.006282,20.57286,0.88641584
134,44.75,11.0251255,20.532421,0.8846734
135,44.75,11.04397,20.490326,0.8828597
136,44.75,11.062814,20.446518,0.88097215
137,44.75,11.081658,20.400944,0.87900853
138,44.75,11.100503,20.353535,0.8769658
139,44.75,11.119347,20.30426,0.87484276
140,44.75,11.138191,20.253052,0.8726364
141,44.75,11.157035,20.199898,0.8703461
142,44.75,11.1758795,20.144726,0.867969
143,44.75,11.194724,20.087513,0.86550385
144,44.75,11.213568,20.028252,0.86295044
145,44.75,11.232412,19.966913,0.8603076
146,44.75,11.251256,19.903473,0.85757416
147,44.75,11.270101,19.83794,0.8547506
148,44.75,11.288945,19.770308,0.8518365
149,44.75,11.307789,19.700588,0.84883255
150,44.75,11.326633,19.628773,0.84573823
151,44.75,11.345477,19.554893,0.84255505
152,44.75,11.364322,19.47897,0.83928376
153,44.75,11.383165,19.401037,0.8359259
154,44.75,11.40201,19.321106,0.8324819
155,44.75,11.420855,19.23922,0.82895374
156,44.75,11.439698,19.155418,0.825343
157,44.75,11.458543,19.069752,0.82165194
158,44.75,11.477386,18.982262,0.81788224
159,44.75,11.496231,18.892986,0.81403565
160,44.75,11.515076,18.801987,0.8101148
161,44.75,11.533919,18.709324,0.8061223
162,44.75,11.552764,18.615034,0.80205965
163,44.75,11.571608,18.519197,0.79793036
164,44.75,11.590452,18.421848,0.7937359
165,44.75,11.609297,18.323065,0.7894797
166,44.75,11.62814,18.222912,0.7851644
167,44.75,11.646985,18.121437,0.7807922
168,44.75,11.665829,18.018715,0.77636623
169,44.75,11.684673,17.914795,0.7718887
170,44.75,11.703518,17.809753,0.7673628
171,44.75,11.722362,17.703655,0.7627914
172,44.75,11.741206,17.59655,0.75817657
173,44.75,11.76005,17.48852,0.7535219
174,44.75,11.778894,17.379618,0.74882966
175,44.75,11.797739,17.269897,0.7441022
176,44.75,11.816583,17.159443,0.7393431
177,44.75,11.835427,17.048306,0.7345545
178,44.75,11.854271,16.936546,0.7297392
179,44.75,11.873116,16.824223,0.72489953
180,44.75,11.89196,16.711391,0.72003806
181,44.75,11.910804,16.598122,0.7151576
182,44.75,11.929648,16.484467,0.7102606
183,44.75,11.948492,16.370485,0.7053495
184,44.75,11.967337,16.256226,0.70042646
185,44.75,11.986181,16.14175,0.6954941
186,44.75,12.005025,16.027115,0.69055486
187,44.75,12.0238695,15.912355,0.68561023
188,44.75,12.042713,15.797541,0.6806633
189,44.75,12.061558,15.682709,0.67571557
190,44.75,12.080402,15.567903,0.6707689
191,44.75,12.099246,15.453198,0.6658267
192,44.75,12.118091,15.338606,0.66088927
193,44.75,12.136934,15.224197,0.65595984
194,44.75,12.155779,15.109995,0.6510392
195,44.75,12.1746235,14.996057,0.64612997
196,44.75,12.193467,14.882414,0.6412335
197,44.75,12.212312,14.769102,0.6363513
198,44.75,12.231155,14.656179,0.6314858
199,44.75,12.25,14.543657,0.62663764
200,44.76055,8.5,14.617145,0.62980396
201,44.76055,8.518845,14.718853,0.6341862
202,44.76055,8.537688,14.820868,0.6385817
203,44.76055,8.556533,14.923146,0.6429885
204,44.76055,8.5753765,15.025663,0.6474056
205,44.76055,8.594221,15.128403,0.65183234
206,44.76055,8.613066,15.231336,0.6562674
207,44.76055,8.631909,15.334424,0.6607091
208,44.76055,8.650754,15.437634,0.6651561
209,44.76055,8.669598,15.540974,0.66960865
210,44.76055,8.688442,15.64438,0.67406404
211,44.76055,8.707287,15.747794,0.67851985
212,44.76055,8.7261305,15.851239,0.68297696
213,44.76055,8.744975,15.954639,0.6874321
214,44.76055,8.763819,16.057955,0.6918836
215,44.76055,8.782663,16.161154,0.69633013
216,44.76055,8.801508,16.26418,0.7007692
217,44.76055,8.820352,16.367012,0.7051999
218,44.76055,8.839196,16.469595,0.7096198
219,44.76055,8.85804,16.57186,0.7140261
220,44.76055,8.876884,16.673769,0.718417
221,44.76055,8.895729,16.775269,0.7227903
222,44.76055,8.914573,16.876293,0.7271431
223,44.76055,8.933417,16.976814,0.7314742
224,44.76055,8.952261,17.076748,0.73578
225,44.76055,8.971106,17.176048,0.74005854
226,44.76055,8.98995,17.27467,0.7443078
227,44.76055,9.008794,17.372541,0.7485248
228,44.76055,9.027638,17.469606,0.752707
229,44.76055,9.046482,17.565826,0.7568528
230,44.76055,9.065327,17.661156,0.7609602
231,44.76055,9.084171,17.755535,0.7650267
232,44.76055,9.103015,17.848915,0.7690501
233,44.76055,9.12186,17.94128,0.77302986
234,44.76055,9.140703,18.032583,0.7769638
235,44.76055,9.159548,18.122799,0.7808509
236,44.76055,9.178392,18.211895,0.7846897
237,44.76055,9.197236,18.29985,0.78847945
238,44.76055,9.216081,18.386665,0.79222
239,44.76055,9.234924,18.472305,0.79590994
240,44.76055,9.253769,18.556778,0.7995496
241,44.76055,9.272614,18.640087,0.8031391
242,44.76055,9.291457,18.722214,0.80667764
243,44.76055,9.310302,18.803185,0.8101664
244,44.76055,9.329145,18.883,0.81360537
245,44.76055,9.34799,18.961653,0.8169943
246,44.76055,9.366835,19.039192,0.8203352
247,44.76055,9.385678,19.115616,0.82362807
248,44.76055,9.404523,19.190918,0.8268725
249,44.76055,9.423367,19.26514,0.83007056
250,44.76055,9.442211,19.338308,0.8332231
251,44.76055,9.461055,19.410395,0.8363291
252,44.76055,9.479899,19.481462,0.8393912
253,44.76055,9.498744,19.551487,0.8424083
254,44.76055,9.517588,19.620476,0.8453808
255,44.76055,9.536432,19.688469,0.84831035
256,44.76055,9.555276,19.755436,0.85119575
257,44.76055,9.5741205,19.821396,0.85403776
258,44.76055,9.592965,19.886341,0.856836
259,44.76055,9.611809,19.950268,0.8595904
260,44.76055,9.630653,20.013145,0.8622996
261,44.76055,9.649497,20.074987,0.8649641
262,44.76055,9.668342,20.135754,0.8675824
263,44.76055,9.687186,20.195395,0.8701521
264,44.76055,9.70603,20.253925,0.872674
265,44.76055,9.7248745,20.31131,0.8751465
266,44.76055,9.743718,20.367495,0.8775673
267,44.76055,9.762563,20.422434,0.8799345
268,44.76055,9.781407,20.476116,0.88224745
269,44.76055,9.800251,20.52847,0.8845032
270,44.76055,9.819096,20.579456,0.88670003
271,44.76055,9.837939,20.629032,0.8888361
272,44.76055,9.856784,20.677153,0.89090943
273,44.76055,9.875628,20.723774,0.8929182
274,44.76055,9.894472,20.768837,0.8948598
275,44.76055,9.913317,20.8123,0.8967325
276,44.76055,9.93216,20.854128,0.8985347
277,44.76055,9.951005,20.89427,0.9002643
278,44.76055,9.96985,20.93267,0.9019189
279,44.76055,9.988693,20.96933,0.9034984
280,44.76055,10.007538,21.004189,0.9050003
281,44.76055,10.0263815,21.037209,0.90642303
282,44.76055,10.045226,21.068405,0.90776724
283,44.76055,10.064071,21.097704,0.9090296
284,44.76055,10.082914,21.125126,0.9102111
285,44.76055,10.101759,21.15065,0.91131085
286,44.76055,10.120603,21.174255,0.91232795
287,44.76055,10.139447,21.195955,0.9132629
288,44.76055,10.158292,21.215721,0.91411453
289,44.76055,10.177135,21.233591,0.9148845
290,44.76055,10.19598,21.249554,0.9155723
291,44.76055,10.214824,21.26365,0.9161797
292,44.76055,10.233668,21.275877,0.9167065
293,44.76055,10.252513,21.286251,0.9171535
294,44.76055,10.271357,21.294842,0.9175236
295,44.76055,10.290201,21.301636,0.91781634
296,44.76055,10.309045,21.306686,0.91803396
297,44.76055,10.327889,21.310032,0.9181781
298,44.76055,10.346734,21.311707,0.91825026
299,44.76055,10.365578,21.31178,0.9182535
300,44.76055,10.384422,21.310284,0.9181889
301,44.76055,10.403266,21.307251,0.9180583
302,44.76055,10.422111,21.302746,0.91786414
303,44.76055,10.440955,21.296835,0.9176095
304,44.76055,10.459799,21.289536,0.917295
305,44.76055,10.478643,21.28093,0.9169242
306,44.76055,10.497487,21.271042,0.9164981
307,44.76055,10.516332,21.259943,0.9160199
308,44.76055,10.535176,21.247665,0.9154909
309,44.76055,10.55402,21.234259,0.9149133
310,44.76055,10.572865,21.219776,0.9142893
311,44.76055,10.591708,21.204235,0.91361964
312,44.76055,10.610553,21.187702,0.9129073
313,44.76055,10.629397,21.170162,0.9121516
314,44.76055,10.648241,21.151688,0.91135556
315,44.76055,10.667086,21.132263,0.91051865
316,44.76055,10.685929,21.111917,0.909642
317,44.76055,10.704774,21.090681,0.908727
318,44.76055,10.7236185,21.068527,0.9077725
319,44.76055,10.742462,21.045464,0.90677875
320,44.76055,10.761307,21.021496,0.90574604
321,44.76055,10.78015,20.996574,0.90467227
322,44.76055,10.798995,20.9707,0.90355736
323,44.76055,10.81784,20.943846,0.9024004
324,44.76055,10.836683,20.915974,0.90119946
325,44.76055,10.855528,20.88705,0.89995325
326,44.76055,10.874372,20.857016,0.8986591
327,44.76055,10.893216,20.825844,0.89731604
328,44.76055,10.912061,20.793453,0.89592046
329,44.76055,10.930904,20.759804,0.89447063
330,44.76055,10.949749,20.72484,0.8929641
331,44.76055,10.968593,20.688488,0.89139783
332,44.76055,10.987437,20.650677,0.88976866
333,44.76055,11.006282,20.611362,0.88807476
334,44.76055,11.0251255,20.570461,0.8863125
335,44.76055,11.04397,20.527916,0.88447934
336,44.76055,11.062814,20.483683,0.8825735
337,44.76055,11.081658,20.437675,0.88059115
338,44.76055,11.100503,20.389835,0.8785299
339,44.76055,11.119347,20.340128,0.8763882
340,44.76055,11.138191,20.288494,0.87416345
341,44.76055,11.157035,20.2349,0.87185425
342,44.76055,11.1758795,20.179306,0.8694589
343,44.76055,11.194724,20.121674,0.8669757
344,44.76055,11.213568,20.061983,0.86440384
345,44.76055,11.232412,20.000206,0.8617421
346,44.76055,11.251256,19.936329,0.85898983
347,44.76055,11.270101,19.870356,0.8561472
348,44.76055,11.288945,19.802284,0.85321426
349,44.76055,11.307789,19.732117,0.850191
350,44.76055,11.326633,19.659851,0.8470773
351,44.76055,11.345477,19.585531,0.8438751
352,44.76055,11.364322,19.509155,0.84058434
353,44.76055,11.383165,19.430763,0.83720666
354,44.76055,11.40201,19.350372,0.8337429
355,44.76055,11.420855,19.268036,0.8301953
356,44.76055,11.439698,19.183777,0.82656485
357,44.76055,11.458543,19.097649,0.82285386
358,44.76055,11.477386,19.009695,0.81906426
