,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
95,44.75,12.092424,10.70817,7.969388,0.2795139,0.20802385
96,44.75,12.131818,10.70817,7.9714503,0.2795139,0.20807767
97,44.75,12.171212,10.70817,7.973951,0.2795139,0.20814294
98,44.75,12.210606,10.70817,7.9766955,0.2795139,0.20821458
99,44.75,12.25,10.70817,7.979538,0.2795139,0.20828879
100,44.770203,8.35,10.708144,7.274432,0.2795132,0.1898835
101,44.770203,8.389394,10.708083,7.213694,0.27951163,0.18829806
102,44.770203,8.428788,10.707937,7.153573,0.27950782,0.18672873
103,44.770203,8.468182,10.707618,7.0956793,0.27949947,0.18521754
104,44.770203,8.507576,10.706961,7.0420494,0.27948233,0.18381764
105,44.770203,8.546969,10.705693,6.9951444,0.27944922,0.18259329
106,44.770203,8.586364,10.703399,6.958,0.27938935,0.18162373
107,44.770203,8.625757,10.69954,6.9341435,0.27928862,0.181001
108,44.770203,8.665152,10.693619,6.927626,0.27913406,0.18083087
109,44.770203,8.704545,10.685592,6.942931,0.27892452,0.18123038
110,44.770203,8.743939,10.676634,6.984729,0.2786907,0.18232141
111,44.770203,8.783334,10.670064,7.0576277,0.2785192,0.18422428
112,44.770203,8.822727,10.671684,7.1656322,0.2785615,0.18704352
113,44.770203,8.862122,10.688308,7.3116627,0.27899542,0.19085532
114,44.770203,8.901515,10.723813,7.4968443,0.27992222,0.1956891
115,44.770203,8.940909,10.774456,7.720043,0.28124413,0.20151523
116,44.770203,8.980303,10.827772,7.977598,0.28263584,0.20823815
117,44.770203,9.019697,10.867988,8.263399,0.2836856,0.21569838
118,44.770203,9.059091,10.88475,8.5695095,0.28412315,0.22368872
119,44.770203,9.098485,10.877918,8.886948,0.28394482,0.23197477
120,44.770203,9.137878,10.855113,9.206803,0.2833495,0.24032392
121,44.770203,9.177273,10.825852,9.521219,0.28258574,0.24853107
122,44.770203,9.216666,10.797317,9.824038,0.28184086,0.2564355
123,44.770203,9.256061,10.773294,10.111226,0.28121382,0.26393193
124,44.770203,9.295455,10.755023,10.380777,0.2807369,0.270968
125,44.770203,9.334848,10.742366,10.632404,0.2804065,0.27753618
126,44.770203,9.374243,10.734658,10.867022,0.2802053,0.28366038
127,44.770203,9.413636,10.731142,11.086053,0.28011352,0.28937772
128,44.770203,9.453031,10.731116,11.290874,0.28011286,0.2947241
129,44.770203,9.492424,10.733917,11.482294,0.28018597,0.29972073
130,44.770203,9.531818,10.738811,11.660347,0.2803137,0.30436844
131,44.770203,9.571212,10.744875,11.824161,0.28047198,0.30864444
132,44.770203,9.610606,10.75098,11.972169,0.28063136,0.31250787
133,44.770203,9.65,10.755965,12.102431,0.28076148,0.3159081
134,44.770203,9.689394,10.758973,12.213073,0.28084,0.31879616
