,Latitude,Longitude,NO2,Normalized
125,44.75,10.855528,12.085657,0.5523681
126,44.75,10.874372,12.007722,0.54880613
127,44.75,10.893216,11.924175,0.5449877
128,44.75,10.912061,11.835099,0.5409165
129,44.75,10.930904,11.740608,0.53659785
130,44.75,10.949749,11.640856,0.53203875
131,44.75,10.968593,11.536051,0.5272487
132,44.75,10.987437,11.426431,0.52223855
133,44.75,11.006282,11.312292,0.5170219
134,44.75,11.0251255,11.193966,0.5116139
135,44.75,11.04397,11.07181,0.5060308
136,44.75,11.062814,10.946236,0.5002915
137,44.75,11.081658,10.817659,0.49441501
138,44.75,11.100503,10.686552,0.4884228
139,44.75,11.119347,10.553391,0.4823368
140,44.75,11.138191,10.418657,0.47617885
141,44.75,11.157035,10.282858,0.4699722
142,44.75,11.1758795,10.146471,0.4637387
143,44.75,11.194724,10.009987,0.4575008
144,44.75,11.213568,9.873879,0.4512801
145,44.75,11.232412,9.738577,0.44509614
146,44.75,11.251256,9.604514,0.4389689
147,44.75,11.270101,9.472061,0.4329152
148,44.75,11.288945,9.341571,0.4269512
149,44.75,11.307789,9.213367,0.42109174
150,44.75,11.326633,9.087713,0.4153488
151,44.75,11.345477,8.964864,0.40973404
152,44.75,11.364322,8.845007,0.40425605
153,44.75,11.383165,8.728331,0.39892343
154,44.75,11.40201,8.614956,0.3937417
155,44.75,11.420855,8.505004,0.3887164
156,44.75,11.439698,8.398554,0.38385114
157,44.75,11.458543,8.295652,0.3791481
158,44.75,11.477386,8.196341,0.3746091
159,44.75,11.496231,8.100622,0.37023437
160,44.75,11.515076,8.008493,0.36602366
161,44.75,11.533919,7.9199347,0.36197615
162,44.75,11.552764,7.8349004,0.3580897
163,44.75,11.571608,7.7533507,0.35436252
164,44.75,11.590452,7.675216,0.35079142
165,44.75,11.609297,7.6004324,0.34737346
166,44.75,11.62814,7.528928,0.3441054
167,44.75,11.646985,7.4606113,0.34098303
168,44.75,11.665829,7.3954034,0.33800274
169,44.75,11.684673,7.333205,0.33516
170,44.75,11.703518,7.2739277,0.33245075
171,44.75,11.722362,7.217478,0.32987073
172,44.75,11.741206,7.16375,0.32741514
173,44.75,11.76005,7.1126537,0.32507983
174,44.75,11.778894,7.064086,0.32286006
175,44.75,11.797739,7.0179505,0.32075146
176,44.75,11.816583,6.9741554,0.31874982
177,44.75,11.835427,6.9325976,0.31685045
178,44.75,11.854271,6.8931894,0.31504932
179,44.75,11.873116,6.8558345,0.31334203
180,44.75,11.89196,6.820444,0.31172454
181,44.75,11.910804,6.786934,0.31019297
182,44.75,11.929648,6.755213,0.30874318
183,44.75,11.948492,6.725203,0.30737162
184,44.75,11.967337,6.6968207,0.3060744
185,44.75,11.986181,6.6699896,0.3048481
186,44.75,12.005025,6.6446357,0.30368933
187,44.75,12.0238695,6.620684,0.30259463
188,44.75,12.042713,6.598068,0.30156097
189,44.75,12.061558,6.5767183,0.30058518
190,44.75,12.080402,6.5565724,0.29966444
191,44.75,12.099246,6.537568,0.29879585
192,44.75,12.118091,6.519645,0.2979767
193,44.75,12.136934,6.502749,0.29720446
194,44.75,12.155779,6.4868236,0.2964766
195,44.75,12.1746235,6.4718184,0.2957908
196,44.75,12.193467,6.4576855,0.29514486
