,Latitude,Longitude,NOx,Normalized
123,44.75,10.81784,6.245577,0.35019523
124,44.75,10.836683,6.234821,0.34959215
125,44.75,10.855528,6.220763,0.3488039
126,44.75,10.874372,6.2036357,0.34784356
127,44.75,10.893216,6.1837764,0.34673002
128,44.75,10.912061,6.161641,0.34548888
129,44.75,10.930904,6.1378164,0.34415302
130,44.75,10.949749,6.1130114,0.34276217
131,44.75,10.968593,6.0880566,0.34136292
132,44.75,10.987437,6.0638723,0.3400069
133,44.75,11.006282,6.041434,0.33874875
134,44.75,11.0251255,6.021725,0.33764368
135,44.75,11.04397,6.0056667,0.33674327
136,44.75,11.062814,5.9940753,0.3360933
137,44.75,11.081658,5.987588,0.33572957
138,44.75,11.100503,5.98663,0.33567587
139,44.75,11.119347,5.991388,0.33594263
140,44.75,11.138191,6.0018024,0.33652657
141,44.75,11.157035,6.017579,0.3374112
142,44.75,11.1758795,6.038225,0.33856884
143,44.75,11.194724,6.0630836,0.3399627
144,44.75,11.213568,6.0913854,0.34154958
145,44.75,11.232412,6.1223044,0.34328324
146,44.75,11.251256,6.1549892,0.3451159
147,44.75,11.270101,6.1886272,0.34700203
148,44.75,11.288945,6.2224584,0.34889898
149,44.75,11.307789,6.255808,0.3507689
150,44.75,11.326633,6.2881126,0.35258025
151,44.75,11.345477,6.31891,0.35430712
152,44.75,11.364322,6.347859,0.3559303
153,44.75,11.383165,6.374717,0.35743627
154,44.75,11.40201,6.399346,0.35881722
155,44.75,11.420855,6.421685,0.3600698
156,44.75,11.439698,6.441748,0.36119476
157,44.75,11.458543,6.459603,0.36219588
158,44.75,11.477386,6.4753585,0.3630793
159,44.75,11.496231,6.489155,0.3638529
160,44.75,11.515076,6.5011487,0.36452538
161,44.75,11.533919,6.5115056,0.3651061
162,44.75,11.552764,6.5203953,0.36560455
163,44.75,11.571608,6.5279803,0.36602986
164,44.75,11.590452,6.534419,0.36639088
165,44.75,11.609297,6.5398574,0.36669582
166,44.75,11.62814,6.544429,0.36695215
167,44.75,11.646985,6.548256,0.36716673
168,44.75,11.665829,6.551446,0.3673456
169,44.75,11.684673,6.554096,0.3674942
170,44.75,11.703518,6.556289,0.36761716
171,44.75,11.722362,6.5580983,0.3677186
172,44.75,11.741206,6.559586,0.36780202
173,44.75,11.76005,6.560806,0.36787042
174,44.75,11.778894,6.561803,0.36792633
175,44.75,11.797739,6.5626163,0.36797193
176,44.75,11.816583,6.5632777,0.36800903
177,44.75,11.835427,6.5638146,0.36803913
178,44.75,11.854271,6.5642495,0.3680635
179,44.75,11.873116,6.5646014,0.36808324
180,44.75,11.89196,6.5648847,0.36809912
181,44.75,11.910804,6.565113,0.36811194
182,44.75,11.929648,6.565296,0.3681222
183,44.75,11.948492,6.5654435,0.36813045
184,44.75,11.967337,6.5655613,0.36813706
185,44.75,11.986181,6.5656557,0.36814237
186,44.75,12.005025,6.565731,0.36814657
187,44.75,12.0238695,6.5657907,0.36814994
188,44.75,12.042713,6.565839,0.36815262
189,44.75,12.061558,6.5658765,0.36815473
190,44.75,12.080402,6.565907,0.36815643
191,44.75,12.099246,6.565931,0.36815777
192,44.75,12.118091,6.56595,0.36815885
193,44.75,12.136934,6.5659647,0.36815968
194,44.75,12.155779,6.5659766,0.36816034
195,44.75,12.1746235,6.565986,0.36816087
196,44.75,12.193467,6.565994,0.36816132
197,44.75,12.212312,6.5659995,0.36816165
198,44.75,12.231155,6.5660043,0.36816192
199,44.75,12.25,6.5660076,0.3681621
200,44.76055,8.5,6.5379715,0.36659008
201,44.76055,8.518845,6.532855,0.3663032
202,44.76055,8.537688,6.52691,0.36596984
203,44.76055,8.556533,6.5200286,0.36558402
204,44.76055,8.5753765,6.512099,0.36513937
205,44.76055,8.594221,6.5030046,0.36462945
206,44.76055,8.613066,6.4926286,0.36404765
207,44.76055,8.631909,6.4808607,0.36338782
208,44.76055,8.650754,6.4675965,0.36264408
209,44.76055,8.669598,6.4527526,0.3618118
210,44.76055,8.688442,6.436269,0.36088753
211,44.76055,8.707287,6.418123,0.35987005
212,44.76055,8.7261305,6.398338,0.35876068
213,44.76055,8.744975,6.376994,0.35756394
214,44.76055,8.763819,6.3542438,0.35628828
215,44.76055,8.782663,6.3303137,0.35494652
216,44.76055,8.801508,6.305519,0.35355625
217,44.76055,8.820352,6.2802672,0.35214037
218,44.76055,8.839196,6.255052,0.35072652
219,44.76055,8.85804,6.23045,0.34934708
220,44.76055,8.876884,6.207095,0.34803754
221,44.76055,8.895729,6.1856756,0.34683654
222,44.76055,8.914573,6.166879,0.34578258
223,44.76055,8.933417,6.151371,0.34491304
224,44.76055,8.952261,6.1397305,0.34426033
225,44.76055,8.971106,6.132427,0.34385085
226,44.76055,8.98995,6.129768,0.34370172
227,44.76055,9.008794,6.131862,0.34381914
228,44.76055,9.027638,6.1386223,0.3441982
229,44.76055,9.046482,6.14974,0.3448216
230,44.76055,9.065327,6.1647453,0.34566295
231,44.76055,9.084171,6.1830072,0.3466869
232,44.76055,9.103015,6.2038164,0.3478537
233,44.76055,9.12186,6.2264137,0.34912074
234,44.76055,9.140703,6.2500534,0.35044625
235,44.76055,9.159548,6.274035,0.3517909
236,44.76055,9.178392,6.29774,0.3531201
237,44.76055,9.197236,6.320641,0.35440415
238,44.76055,9.216081,6.3423157,0.3556195
239,44.76055,9.234924,6.362439,0.3567478
240,44.76055,9.253769,6.3807817,0.3577763
241,44.76055,9.272614,6.397191,0.3586964
242,44.76055,9.291457,6.411581,0.35950324
243,44.76055,9.310302,6.4239264,0.36019546
244,44.76055,9.329145,6.4342394,0.3607737
245,44.76055,9.34799,6.442569,0.36124077
246,44.76055,9.366835,6.448986,0.36160058
247,44.76055,9.385678,6.4535823,0.3618583
248,44.76055,9.404523,6.4564633,0.36201984
249,44.76055,9.423367,6.4577456,0.36209175
250,44.76055,9.442211,6.457556,0.36208108
251,44.76055,9.461055,6.4560313,0.3619956
252,44.76055,9.479899,6.453317,0.36184344
253,44.76055,9.498744,6.4495707,0.36163336
254,44.76055,9.517588,6.4449596,0.36137483
255,44.76055,9.536432,6.439663,0.36107782
256,44.76055,9.555276,6.4338717,0.36075312
257,44.76055,9.5741205,6.427784,0.36041176
258,44.76055,9.592965,6.421606,0.36006537
259,44.76055,9.611809,6.415545,0.3597255
260,44.76055,9.630653,6.409805,0.35940367
261,44.76055,9.649497,6.404581,0.35911074
262,44.76055,9.668342,6.4000525,0.35885683
263,44.76055,9.687186,6.396376,0.35865068
264,44.76055,9.70603,6.393684,0.35849974
265,44.76055,9.7248745,6.3920774,0.35840967
266,44.76055,9.743718,6.3916273,0.35838443
267,44.76055,9.762563,6.3923736,0.35842627
268,44.76055,9.781407,6.394326,0.35853577
269,44.76055,9.800251,6.3974657,0.35871178
270,44.76055,9.819096,6.401748,0.35895193
271,44.76055,9.837939,6.4070997,0.35925198
272,44.76055,9.856784,6.413423,0.35960653
273,44.76055,9.875628,6.420591,0.36000845
274,44.76055,9.894472,6.428449,0.36044905
275,44.76055,9.913317,6.436814,0.36091807
276,44.76055,9.93216,6.4454756,0.36140373
277,44.76055,9.951005,6.4542017,0.36189303
278,44.76055,9.96985,6.4627414,0.36237186
279,44.76055,9.988693,6.4708347,0.36282566
280,44.76055,10.007538,6.4782233,0.36323994
281,44.76055,10.0263815,6.4846544,0.36360055
282,44.76055,10.045226,6.4898963,0.36389446
283,44.76055,10.064071,6.493739,0.36410993
284,44.76055,10.082914,6.4960017,0.3642368
285,44.76055,10.101759,6.496531,0.36426648
286,44.76055,10.120603,6.495201,0.3641919
287,44.76055,10.139447,6.4919066,0.36400717
288,44.76055,10.158292,6.4865603,0.3637074
