,IDStation,NOx_2019,NOx_2020,NOx_Delta,Latitude,Longitude,NOx_Abs,NOx_Delta_Norm,NOx_2019_Norm,NOx_2020_Norm
0,501,64.05502051700132,43.68643249098684,20.368588026014486,45.496316443651,9.19093355531362,20.368588026014486,0.4011909285060036,0.507495341326666,0.3461190206390338
1,504,42.040402919323036,31.04662319366157,10.993779725661465,45.5347657650922,9.23610792341164,10.993779725661465,0.2923370224099164,0.33307785177259674,0.2459762951840089
2,514,38.370072407356496,29.136271384630998,9.233801022725498,45.5234256620035,9.04459987111101,9.233801022725498,0.2719013451861708,0.30399854431288326,0.2308409531678329
3,517,14.962472199792899,12.137395501042299,2.8250766987505997,45.5265508699425,8.73649657837922,2.8250766987505997,0.1974875914957189,0.11854472724911908,0.09616219966682107
4,528,46.45581322468203,29.921688480283432,16.5341247443986,45.4633467406665,9.19532480766886,16.5341247443986,0.3566677454591361,0.3680602800339489,0.23706365848936406
5,531,31.09597135464703,22.225575999313765,8.870395355333265,45.4836303532325,9.32736003321514,8.870395355333265,0.26768172542161406,0.24636727096703143,0.17608887151881797
6,539,49.3227275819169,44.878431035342196,4.444296546574705,45.4438576535649,9.16794450174268,4.444296546574705,0.21628887250509468,0.39077427916369806,0.3555629908890777
7,542,38.78267995895033,24.803355975723633,13.9793239832267,45.6617621918917,9.1566439845516,13.9793239832267,0.3270031343821986,0.30726755287052626,0.19651211576156938
8,544,40.997142823375704,25.248808668044433,15.748334155331271,45.5510419443724,9.16261365315132,15.748334155331271,0.34754367889125726,0.3248123070235359,0.20004134991542036
9,545,18.410533316964,18.712386412164765,-0.30185309520076586,45.2819561974278,8.98856272679325,0.30185309520076586,0.1611798067117866,0.14586303796778483,0.1482545607296699
10,546,39.22420111546287,26.493334955541936,12.730866159920932,45.4624157911066,8.88021043312557,12.730866159920932,0.31250689015948374,0.3107656382386794,0.2099014871531552
11,548,52.78232356612087,35.98139739331043,16.800926172810442,45.470499014097,9.19746036011253,16.800926172810442,0.3597656624195876,0.41818397836736865,0.28507354152953335
12,551,25.7117347994277,13.894186821560433,11.817547977867266,45.5485173574195,8.84732192921626,11.817547977867266,0.30190205980563267,0.20370902269359126,0.11008091210575376
13,552,19.561881354532137,13.584063705720501,5.9778176488116355,45.8369007765555,8.80392612667495,5.9778176488116355,0.23409507789203374,0.1549849422400088,0.10762386759532849
14,554,19.68456391875747,14.913684289127835,4.7708796296296345,45.626218960836,9.04006309067821,4.7708796296296345,0.22008093343225982,0.15595693209035694,0.11815819021930093
15,558,28.752989390703302,18.5784801978964,10.174509192806902,45.5828942927177,8.84216545670608,10.174509192806902,0.28282420947620723,0.22780428524137314,0.1471936481053761
16,560,35.19281552268763,21.8129802298596,13.37983529282803,45.8169732332637,8.82024070715821,13.37983529282803,0.3200422789151203,0.2788257623177615,0.17281995630875252
17,561,50.345277157630996,23.201266794770202,27.144010362860794,45.8150428601129,9.06697137484454,27.144010362860794,0.4798625304403735,0.39887573853037994,0.18381907797684302
18,564,16.31851282658587,9.229609689929323,7.088903136656548,45.808573806923,9.22177920448843,7.088903136656548,0.2469962478662551,0.12928837068553745,0.07312438403886505
19,565,22.1383838674865,14.813547679163067,7.324836188323433,45.7308367226743,9.12573432702293,7.324836188323433,0.2497357422034506,0.17539806539081224,0.1173648275344841
20,569,20.649663386483297,13.414704573859199,7.2349588126240985,46.1679668122783,9.87014407497457,7.2349588126240985,0.2486921471665078,0.16360322553987203,0.10628206847112204
21,571,12.229816634340082,8.878284202214969,3.351532432125113,46.4695239713258,10.375432759159,3.351532432125113,0.20360043787385104,0.09689443414602644,0.07034090123197047
22,572,15.602696336390535,13.935509431866,1.6671869045245344,46.1322829600037,9.56617989398447,1.6671869045245344,0.1840429617078697,0.1236170972851563,0.1104083030276873
23,573,20.2122136736686,15.164149321154033,5.048064352514567,46.1381409051264,9.38468724765179,5.048064352514567,0.22329941415522567,0.16013739742013514,0.1201425754539414
24,574,47.52885329657391,31.297031063321402,16.231822233252505,45.8501911945785,9.39557706689322,16.231822233252505,0.3531576140402708,0.37656176568092364,0.24796022753245253
25,576,46.2097471098445,24.586280969752234,21.623466140092265,45.6979519897024,9.4061909386866,21.623466140092265,0.4157617207841469,0.366110746555847,0.19479227314252434
26,583,22.993633817344403,15.706652269573732,7.2869815477706705,45.6910374054721,9.64365057946138,7.2869815477706705,0.24929619983031465,0.18217404269469195,0.12444071971737043
27,584,42.832415824915834,22.813182841969702,20.019232982946132,45.6956803443269,9.66124914606551,20.019232982946132,0.3971344550471356,0.33935281440026865,0.18074436507377528
28,588,31.062568936323203,13.754536976916569,17.308031959406634,45.7162999241173,10.0447659993684,17.308031959406634,0.36565383035928245,0.24610263016992345,0.10897449382656606
29,592,35.031808025025,23.181296195046865,11.850511829978135,45.5193349813872,9.59200999488842,11.850511829978135,0.302284813665475,0.2775501315502909,0.1836608548392764
30,595,17.07286983735243,14.2250983957495,2.847771441602932,45.6338645090807,9.55608425579086,2.847771441602932,0.1977511074341973,0.13526499305754228,0.11270265948693603
31,596,17.732857743277567,11.4146432834018,6.318214459875767,45.6205556793956,9.61173782181237,6.318214459875767,0.23804753444579466,0.14049394755456018,0.09043597586069932
32,598,19.889384503260867,18.5245906007994,1.364793902461468,45.0819866969786,9.70078817718398,1.364793902461468,0.18053177956994299,0.15757968533599348,0.14676669141639276
33,600,34.92828457663977,24.652928023382334,10.275356553257435,45.3060129875238,9.48526286320174,10.275356553257435,0.28399518052466133,0.2767299356101517,0.19532030465289513
