,IDStation,PM2.5_2019,PM2.5_2020,PM2.5_Delta,Latitude,Longitude,PM2.5_Abs,PM2.5_2019_Norm,PM2.5_2020_Norm,PM2.5_Delta_Norm
0,504,12.657444894287016,12.309006211180128,0.3484386831068882,45.5347657650922,9.23610792341164,0.3484386831068882,0.6937698175918576,0.7571078876289106,0.5276662011140609
1,548,13.591358024691333,11.851321839080464,1.7400361856108688,45.470499014097,9.19746036011253,1.7400361856108688,0.7449587224252244,0.7289564315148984,0.6938694667709959
2,554,10.365949820788554,9.534587813620073,0.8313620071684813,45.626218960836,9.04006309067821,0.8313620071684813,0.5681702094220273,0.5864577135744374,0.5853433910892631
3,560,15.511877394636032,13.9752688172043,1.536608577431732,45.8169732332637,8.82024070715821,1.536608577431732,0.8502247049435088,0.8595971170791453,0.6695734093669584
4,561,14.771062271062268,13.675679529962098,1.0953827411001704,45.8150428601129,9.06697137484454,1.0953827411001704,0.8096197347110856,0.8411698445171919,0.6168762934562405
5,576,13.242793987621567,10.667816091954014,2.574977895667553,45.6979519897024,9.4061909386866,2.574977895667553,0.7258535072386966,0.656160827968146,0.7935894207051687
6,583,15.646607341490535,14.107662835249036,1.5389445062414993,45.6910374054721,9.64365057946138,1.5389445062414993,0.8576094157942428,0.8677404678596097,0.6698523973615667
7,592,11.919713261648733,11.116129032258053,0.8035842293906796,45.5193349813872,9.59200999488842,0.8035842293906796,0.653333857215825,0.6837358618422864,0.5820257957565207
8,600,8.289964157706093,8.616129032258064,-0.32616487455197074,45.3060129875238,9.48526286320174,0.32616487455197074,0.4543829319083724,0.529964737951465,0.44709598299787245
9,609,15.14,15.7595238095238,-0.6195238095238,45.4982271339449,9.55623226235176,0.6195238095238,0.8298416565164425,0.9693438752698571,0.4120591185925923
10,627,9.149572649572645,13.2192118226601,-4.069639173087454,45.1319469128517,10.015741513336,4.069639173087454,0.501499109903494,0.8130932235685139,0.0
11,633,17.39632513492357,16.2579289059174,1.1383962290061689,45.2839771544676,9.86339841999363,1.1383962290061689,0.9535135579434345,1.0,0.622013541938225
12,642,13.388333333333323,11.65897435897436,1.7293589743589628,45.1946760990779,9.16463830063009,1.7293589743589628,0.7338306942752727,0.7171254362375051,0.69259425078722
13,649,12.835836627140983,10.950414040291696,1.8854225868492875,45.5400578469714,10.2228184492742,1.8854225868492875,0.7035476835826353,0.6735429896181963,0.7112334636339218
14,655,18.244444444444465,13.941218637992845,4.30322580645162,45.8746021098904,10.1773568089814,4.30322580645162,1.0,0.8575027433487337,1.0
15,669,17.484444444444435,13.900188521156275,3.5842559232881595,45.5130388186538,10.1919418887793,3.5842559232881595,0.9583434835566367,0.8549790444770012,0.9141309593645162
16,670,9.762754986143307,9.086766872973756,0.6759881131695504,45.1605683301058,10.7955641137079,0.6759881131695504,0.5351083731747239,0.5589129418364257,0.5667865536890876
17,672,13.43148148148147,13.815770609318998,-0.384289127837528,45.0400765720296,8.91414459900241,0.384289127837528,0.7361956963053172,0.8497866296051073,0.44015400394678345
18,674,10.764680622651655,12.870038314176256,-2.105357691524601,45.5802634844224,9.27357309271327,2.105357691524601,0.5900251254802971,0.7916161024355289,0.23460087871511182
19,677,16.77274345283497,16.058188110245933,0.714555342589037,45.1425406322169,10.0438361583694,0.714555342589037,0.9193342940043517,0.9877142533451007,0.5713927702605639
20,681,12.221377368151588,11.733333333333322,0.48804403481826597,45.9127875203029,9.49753816765342,0.48804403481826597,0.6698684306538621,0.7216991414609237,0.5443397473915339
21,685,12.547509578544057,12.2052380952381,0.34227148330595725,45.6904290785451,9.48426092764779,0.34227148330595725,0.6877441303708671,0.7507252717039351,0.5269296312761378
22,693,12.267921146953418,12.739784946236567,-0.4718637992831489,45.1027662768414,8.90417452771467,0.4718637992831489,0.6724195512946446,0.7836044197240687,0.42969466038163234
23,695,13.333333333333334,11.68888888888889,1.644444444444444,45.4127716916863,10.6833573437868,1.644444444444444,0.7308160779537142,0.7189654325917543,0.6824526170546773
24,697,12.503913630229414,8.634391534391524,3.8695220958378904,45.0465015381673,11.1809358191275,3.8695220958378904,0.6853545838737186,0.5310880361427134,0.9482012773795375
25,703,13.588888888888876,11.5632098765432,2.0256790123456767,45.0168778207554,11.0760946326405,2.0256790123456767,0.744823386114493,0.7112351114006001,0.7279847698880101
26,705,13.088239538239558,12.095632183908032,0.9926073543315255,45.4789960616874,9.2354910384975,0.9926073543315255,0.7173821914991223,0.7439835820358142,0.6046014762915305
27,706,10.611111111111134,8.713812050018946,1.8972990610921876,45.8637488412797,9.39995034468185,1.8972990610921876,0.5816077953714988,0.5359730689219203,0.7126519117125572
28,1264,11.41600543814115,10.996934865900384,0.4190705722407664,46.1678524406651,9.8792099244699,0.4190705722407664,0.625725024015044,0.676404413473467,0.5361020100404538
29,1265,14.85412186379927,14.1848350018539,0.6692868619453698,45.3027835030958,9.49527369692632,0.6692868619453698,0.8141723311461223,0.8724872081763775,0.5659862002568328
30,1269,17.542735042735064,15.278499278499288,2.264235764235776,45.6497025123625,9.60122333878526,2.264235764235776,0.9615384615384617,0.9397568021679792,0.7564764214879183
31,1297,15.246594982078832,14.792473118279567,0.45412186379926567,45.1504688698568,9.93059647227233,0.45412186379926567,0.8356842560213723,0.9098620866090483,0.5402883060865689
