IDStation,PM10_2019,PM10_2020,Delta_PM10
517,17.811549183592234,14.4002849002849,3.411264283307334
528,20.4840048840049,21.12333333333333,-0.6393284493284312
531,21.6904761904762,20.874603174603166,0.8158730158730343
542,19.383117043628733,17.72356797791583,1.659549065712902
546,20.939013169639797,21.592063492063463,-0.6530503224236668
548,24.798168060533637,19.694230769230767,5.10393729130287
554,20.56738351254477,16.366666666666667,4.200716845878102
558,15.21423451100872,11.065232974910382,4.149001536098337
560,19.158730158730165,16.702867383512565,2.4558627752176
561,19.86538461538463,17.502983575564233,2.362401039820398
564,15.602508960573468,14.154022988505735,1.4484859720677328
565,16.320071684587834,14.944603743528498,1.3754679410593358
569,14.256545923212565,12.944444444444423,1.3121014787681418
571,9.31290322580646,7.556989247311816,1.755913978494644
572,14.969731800766299,11.879453262786578,3.090278537979721
574,18.77562724014337,15.280286738351265,3.4953405017921035
576,23.351900972590602,19.5214559386973,3.8304450338933016
583,20.838153503893235,17.288888888888867,3.5492646150043683
584,21.411877394636033,19.973180076628367,1.4386973180076659
592,21.044444444444434,19.410752688172035,1.6336917562723983
595,21.41707717569787,17.720854700854698,3.6962224748431716
596,20.195340501792135,18.517283950617266,1.678056551174869
598,17.4312322333457,16.08817204301077,1.3430601903349313
600,17.694082588335466,19.380731677172164,-1.686649088836699
604,20.9250896057348,20.6294930875576,0.2955965181772022
608,24.719155714854598,20.9042242703533,3.8149314445012976
609,21.31452991452993,18.533506365097,2.7810235494329305
627,20.528627169931532,21.0031233998976,-0.4744962299660678
629,22.543369175627266,20.903789042498733,1.6395801331285327
633,26.177777777777766,25.448435504469998,0.7293422733077684
642,19.91245775729647,16.63369175627243,3.2787660010240387
643,26.364652082560866,19.48681515617,6.8778369263908665
649,22.76245059288537,16.711827956989236,6.050622635896133
654,17.723809523809532,15.68045977011493,2.043349753694601
655,24.607362423151898,19.854121863799264,4.7532405593526335
659,22.784299516908234,16.7702056008508,6.014093916057433
661,27.488756613756635,20.205376344086034,7.283380269670602
663,21.56659765355413,17.980389144905267,3.5862085086488626
664,19.856477821695233,16.942911877394632,2.9135659443006006
669,24.936111111111103,20.3898144865887,4.546296624522402
670,20.6542380324989,16.34154948993657,4.312688542562331
673,18.066666666666666,16.954121863799266,1.1125448028674008
674,20.5056252489048,18.361904761904764,2.143720487000035
677,24.4447181171319,22.708836979359802,1.7358811377720968
679,16.317204301075268,15.602150537634401,0.7150537634408671
681,16.797619047619033,13.991666666666676,2.805952380952357
683,24.355725840783304,15.434920634920632,8.920805205862672
685,18.262007168458798,17.163527376096898,1.0984797923618999
687,17.242652329749067,15.945198368557632,1.2974539611914349
690,13.625780682643432,15.414615690959769,-1.7888350083163367
693,17.8290322580645,16.507526881720434,1.3215053763440672
695,17.8193236714976,19.293548387096767,-1.474224715599167
697,24.61719806763283,22.496381438910166,2.1208166287226646
703,22.097318007662835,19.111050061050065,2.98626794661277
705,19.869696969696964,16.85062801932367,3.0190689503732955
706,14.159139784946236,14.7604813664596,-0.6013415815133651
708,18.491127833519133,18.4126436781609,0.0784841553582325
709,20.856989247311834,14.814490527393765,6.042498719918068
1264,14.892646150043234,13.6233716475096,1.2692745025336336
1265,20.948028673835132,20.3332344580398,0.6147942157953317
1266,20.517562724014336,19.4576683087028,1.0598944153115362
1269,22.7905982905983,18.808333333333334,3.9822649572649667
1297,24.112903225806466,24.6035842293907,-0.4906810035842355
1374,16.897998619737766,16.108710255262,0.789288364475766
