,IDStation,NO2_2019,NO2_2020,NO2_Delta,Latitude,Longitude,NO2_2019_Norm,NO2_2020_Norm,NO2_Delta_Norm
0,501,45.858606529366,32.160305598077166,21.187966193146536,45.496316443651,9.19093355531362,0.7336752320544214,1.0,0.537838478901191
1,504,31.963951524294064,22.73650808826487,16.717108697886893,45.5347657650922,9.23610792341164,0.5113796804302274,0.7069742549220137,0.4243495686058636
2,514,26.261407520561136,22.180301863290897,11.57077091912794,45.5234256620035,9.04459987111101,0.42014674485116316,0.6896794495826257,0.29371416652868104
3,517,12.468143258789413,9.49174030437698,10.466068216270132,45.5265508699425,8.73649657837922,0.1994733069968526,0.2951383740876045,0.26567222914182315
4,528,33.48927334792546,20.6455149584969,20.33342365128626,45.4633467406665,9.19532480766886,0.5357827516878292,0.6419564296594021,0.5161466441738374
5,529,35.795406075638674,30.310053839540867,12.975017497955507,45.5523257874121,9.22776423327263,0.5726777337250576,0.9424678427605824,0.3293597701262135
6,531,22.435394663326402,15.384047741905967,14.541012183278136,45.4836303532325,9.32736003321514,0.35893575124896177,0.47835514793198247,0.36911121166823874
7,539,27.801897441306835,30.161130525686968,5.130432177477568,45.4438576535649,9.16794450174268,0.44479248499934776,0.9378371867054109,0.13023165193329397
8,542,26.096755787016566,18.4642433443463,15.122177704527966,45.6617621918917,9.1566439845516,0.4175125414167627,0.5741314642684944,0.3838636035254587
9,544,32.58358319795777,17.6484426323619,22.424805827453575,45.5510419443724,9.16261365315132,0.521292943094944,0.5487647677519919,0.5692345997698175
10,545,13.910391193036935,15.252100566962932,6.147955887931703,45.2819561974278,8.98856272679325,0.2225473091944874,0.47425235187674464,0.15606062483648683
11,546,29.53538994727933,19.398812154098568,17.626243055038465,45.4624157911066,8.88021043312557,0.47252600358695573,0.6031911635584211,0.4474271700759554
12,548,39.8627052238351,26.621867394405232,20.730503091287567,45.470499014097,9.19746036011253,0.637748979282353,0.8277865181727915,0.5262261676196658
13,551,20.571848387262932,10.7468380972254,17.314675551895235,45.5485173574195,8.84732192921626,0.32912154950998185,0.33416467590618737,0.4395182943283718
14,552,14.983365299774166,11.332151429724433,11.140879131907433,45.8369007765555,8.80392612667495,0.23971343320753874,0.35236454439667925,0.2828017295905109
15,554,14.889828255675035,11.053390083632003,11.326103433900732,45.626218960836,9.04006309067821,0.23821696792590902,0.3436966744586182,0.28750349076624065
16,558,22.149613037821336,14.034233836797801,15.605044462881235,45.5828942927177,8.84216545670608,0.3543636345564265,0.4363837213548398,0.39612076499424914
17,560,23.035061340671266,15.686432246143932,14.838294356385035,45.8169732332637,8.82024070715821,0.36852960117055855,0.4877575618274538,0.3766574664777246
18,561,32.63304760743383,16.355210827053934,23.767502042237595,45.8150428601129,9.06697137484454,0.5220843062620202,0.5085527181070008,0.6033177997901863
19,564,14.557404020387766,8.03241018307646,14.014659099169007,45.808573806923,9.22177920448843,0.23289863301730857,0.24976162488818854,0.3557501868515306
20,565,18.6734735176453,12.289503725319234,13.873635054183765,45.7308367226743,9.12573432702293,0.29875013772054787,0.3821326786787129,0.3521704115605973
