"","Date","IDStation","PM10"
"155",2019-11-01,571,17.2333333333333
"156",2019-12-01,571,21.3548387096774
"157",2020-01-01,571,19.8387096774194
"158",2020-02-01,571,13.448275862069
"159",2020-03-01,571,11.4516129032258
"160",2020-04-01,571,10.2333333333333
"161",2020-05-01,571,6.87096774193548
"162",2020-06-01,571,5.56666666666667
"163",2020-07-01,571,7.7741935483871
"164",2020-08-01,571,7.35483870967742
"165",2020-09-01,571,8.46666666666667
"166",2020-10-01,571,8.38709677419355
"167",2020-11-01,571,15.5333333333333
"168",2020-12-01,571,24.7741935483871
"169",2019-01-01,649,42
"170",2019-02-01,649,53.4642857142857
"171",2019-03-01,649,37.5161290322581
"172",2019-04-01,649,20.4
"173",2019-05-01,649,16.4782608695652
"174",2019-06-01,649,31.4090909090909
"175",2019-07-01,649,24.7407407407407
"176",2019-08-01,649,20.6206896551724
"177",2019-09-01,649,23.1428571428571
"178",2019-10-01,649,25.3793103448276
"179",2019-11-01,649,18.1666666666667
"180",2019-12-01,649,33.258064516129
"181",2020-01-01,649,48.0322580645161
"182",2020-02-01,649,41.551724137931
"183",2020-03-01,649,29.0322580645161
"184",2020-04-01,649,21.9333333333333
"185",2020-05-01,649,15.9354838709677
"186",2020-06-01,649,12.2666666666667
"187",2020-07-01,649,26.75
"188",2020-08-01,649,20.3333333333333
"189",2020-09-01,649,23.1
"190",2020-10-01,649,25.6333333333333
"191",2020-11-01,649,47
"192",2020-12-01,649,33.5925925925926
"193",2019-01-01,652,NA
"194",2019-02-01,652,NA
"195",2019-03-01,652,NA
"196",2019-04-01,652,NA
"197",2019-05-01,652,NA
"198",2019-06-01,652,NA
"199",2019-07-01,652,NA
"200",2019-08-01,652,NA
"201",2019-09-01,652,NA
"202",2019-10-01,652,NA
"203",2019-11-01,652,NA
"204",2019-12-01,652,NA
"205",2020-01-01,652,NA
"206",2020-02-01,652,NA
"207",2020-03-01,652,NA
"208",2020-04-01,652,NA
"209",2020-05-01,652,NA
"210",2020-06-01,652,NA
"211",2020-07-01,652,NA
"212",2020-08-01,652,NA
"213",2020-09-01,652,NA
"214",2020-10-01,652,NA
"215",2020-11-01,652,NA
"216",2020-12-01,652,NA
"217",2019-01-01,669,49.2258064516129
"218",2019-02-01,669,57.9642857142857
"219",2019-03-01,669,39.6129032258064
"220",2019-04-01,669,25.5333333333333
"221",2019-05-01,669,19.125
"222",2019-06-01,669,30.15
"223",2019-07-01,669,25.9
