,Latitude,Longitude,NO2,norm
126,44.75,10.241206,11.264414,0.29406002
127,44.75,10.255025,11.273972,0.29430953
128,44.75,10.268845,11.285922,0.2946215
129,44.75,10.282663,11.300587,0.29500434
130,44.75,10.296482,11.31828,0.2954662
131,44.75,10.310302,11.339293,0.29601476
132,44.75,10.3241205,11.36386,0.2966561
133,44.75,10.337939,11.392139,0.29739434
134,44.75,10.351759,11.424171,0.29823053
135,44.75,10.365578,11.459828,0.29916137
136,44.75,10.379397,11.498787,0.3001784
137,44.75,10.393216,11.540469,0.30126652
138,44.75,10.407035,11.584027,0.3024036
139,44.75,10.420855,11.628328,0.3035601
140,44.75,10.434673,11.671952,0.3046989
141,44.75,10.448492,11.713273,0.3057776
142,44.75,10.462312,11.7505245,0.30675006
143,44.75,10.4761305,11.78194,0.3075702
144,44.75,10.48995,11.805903,0.30819574
145,44.75,10.503769,11.821106,0.30859262
146,44.75,10.517588,11.826702,0.30873868
147,44.75,10.531407,11.822407,0.30862656
148,44.75,10.545226,11.808516,0.30826393
149,44.75,10.559045,11.785885,0.30767316
150,44.75,10.572865,11.7558155,0.3068882
151,44.75,10.586683,11.719925,0.30595124
152,44.75,10.600503,11.679971,0.30490825
153,44.75,10.614322,11.637702,0.3038048
154,44.75,10.62814,11.594728,0.30268297
155,44.75,10.64196,11.552419,0.30157846
156,44.75,10.655779,11.511881,0.3005202
157,44.75,10.669598,11.473912,0.29952905
158,44.75,10.683417,11.439031,0.29861844
159,44.75,10.697236,11.4075165,0.29779577
160,44.75,10.711055,11.379425,0.29706243
161,44.75,10.7248745,11.354659,0.2964159
162,44.75,10.738693,11.333005,0.2958506
163,44.75,10.752513,11.314165,0.2953588
164,44.75,10.766332,11.297805,0.2949317
165,44.75,10.78015,11.2835655,0.29456
166,44.75,10.79397,11.271095,0.29423445
167,44.75,10.807789,11.260062,0.29394644
168,44.75,10.821608,11.250159,0.2936879
169,44.75,10.835427,11.241118,0.2934519
170,44.75,10.849246,11.232708,0.29323235
171,44.75,10.863066,11.224735,0.2930242
172,44.75,10.876884,11.217049,0.29282355
173,44.75,10.890703,11.209533,0.29262733
174,44.75,10.904523,11.202107,0.2924335
175,44.75,10.918342,11.19473,0.29224092
176,44.75,10.93216,11.1873865,0.29204923
177,44.75,10.94598,11.180092,0.2918588
178,44.75,10.959799,11.172891,0.2916708
179,44.75,10.9736185,11.165847,0.29148692
180,44.75,10.987437,11.159043,0.2913093
181,44.75,11.001256,11.152577,0.29114053
182,44.75,11.015076,11.146554,0.2909833
183,44.75,11.028894,11.14108,0.29084036
184,44.75,11.042713,11.136257,0.29071447
185,44.75,11.056533,11.132173,0.29060784
186,44.75,11.070352,11.128899,0.29052237
187,44.75,11.084171,11.126485,0.29045936
188,44.75,11.09799,11.124954,0.2904194
189,44.75,11.111809,11.124303,0.2904024
190,44.75,11.125628,11.124501,0.29040757
191,44.75,11.139447,11.125497,0.2904336
192,44.75,11.153266,11.127215,0.29047844
193,44.75,11.167086,11.129569,0.2905399
194,44.75,11.180904,11.132459,0.29061532
195,44.75,11.194724,11.135779,0.29070202
196,44.75,11.208543,11.139426,0.2907972
197,44.75,11.222362,11.143295,0.2908982
198,44.75,11.236181,11.147291,0.2910025
199,44.75,11.25,11.151325,0.29110783
200,44.75955,8.5,11.192863,0.2921922
201,44.75955,8.513819,11.1926,0.29218534
202,44.75955,8.527638,11.192271,0.29217672
203,44.75955,8.541457,11.191863,0.29216608
204,44.75955,8.555276,11.1913595,0.29215294
205,44.75955,8.569096,11.190743,0.29213685
206,44.75955,8.582914,11.189997,0.29211736
207,44.75955,8.596734,11.189098,0.2920939
208,44.75955,8.610553,11.188028,0.29206598
209,44.75955,8.624372,11.186766,0.29203302
210,44.75955,8.638191,11.185293,0.29199457
211,44.75955,8.65201,11.183596,0.29195026
212,44.75955,8.665829,11.181668,0.29189995
213,44.75955,8.679648,11.179511,0.29184362
214,44.75955,8.693467,11.17714,0.29178172
215,44.75955,8.707287,11.174589,0.29171515
216,44.75955,8.721106,11.171913,0.2916453
217,44.75955,8.734924,11.16919,0.2915742
218,44.75955,8.748744,11.16653,0.29150474
219,44.75955,8.762563,11.16407,0.29144055
220,44.75955,8.7763815,11.161981,0.29138598
221,44.75955,8.790201,11.160458,0.29134622
222,44.75955,8.80402,11.15972,0.291327
223,44.75955,8.81784,11.159995,0.29133415
224,44.75955,8.831658,11.161507,0.2913736
225,44.75955,8.845477,11.164456,0.29145062
226,44.75955,8.859297,11.169006,0.2915694
227,44.75955,8.873116,11.175251,0.29173243
228,44.75955,8.886934,11.183206,0.29194006
229,44.75955,8.900754,11.192786,0.29219016
230,44.75955,8.914573,11.2038,0.2924777
231,44.75955,8.928392,11.215956,0.29279503
232,44.75955,8.942211,11.228864,0.29313198
233,44.75955,8.95603,11.242067,0.29347667
234,44.75955,8.96985,11.25507,0.2938161
235,44.75955,8.983668,11.26737,0.2941372
236,44.75955,8.997487,11.2785015,0.29442778
237,44.75955,9.011307,11.288069,0.29467756
238,44.75955,9.0251255,11.29577,0.29487857
239,44.75955,9.038945,11.301417,0.295026
240,44.75955,9.052764,11.304942,0.29511803
241,44.75955,9.066583,11.306386,0.29515573
242,44.75955,9.080402,11.305892,0.29514283
243,44.75955,9.094221,11.30367,0.29508483
244,44.75955,9.10804,11.299989,0.29498872
245,44.75955,9.12186,11.295136,0.29486206
246,44.75955,9.135678,11.289408,0.2947125
247,44.75955,9.149497,11.283085,0.29454744
248,44.75955,9.163317,11.276417,0.29437336
249,44.75955,9.177135,11.269626,0.2941961
250,44.75955,9.190955,11.262891,0.29402027
251,44.75955,9.204774,11.256355,0.29384965
252,44.75955,9.218593,11.250128,0.2936871
253,44.75955,9.232412,11.244283,0.29353452
254,44.75955,9.246231,11.2388735,0.29339328
