,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
334,COSTA MASNAGA,1160.0,LC,POINT (9.267598266711767 45.7670981121598),45.7670981121598,9.267598266711767
335,VENEGONO INFERIORE,119.0,VA,POINT (8.903181915287362 45.73731041337012),45.737310413370125,8.903181915287362
336,OLGINATE,1185.0,LC,POINT (9.411910419556913 45.78673984221047),45.78673984221047,9.411910419556913
337,OLIVETO LARIO,1186.0,LC,POINT (9.286449430648764 45.9290481233778),45.929048123377804,9.286449430648764
338,ELLO,1164.0,LC,POINT (9.36259302353605 45.78279217007196),45.78279217007196,9.36259302353605
339,VARANO BORGHI,117.0,VA,POINT (8.703791873068914 45.77000105560034),45.77000105560034,8.703791873068914
340,ERVE,1165.0,LC,POINT (9.455143000994866 45.82462984351972),45.824629843519716,9.455143000994866
341,ESINO LARIO,1166.0,LC,POINT (9.345471893773764 45.98547923270498),45.98547923270498,9.345471893773764
342,GALBIATE,1167.0,LC,POINT (9.375505235955776 45.81263734476146),45.81263734476146,9.375505235955776
343,CASALMAIOCCO,1216.0,LO,POINT (9.372433487067777 45.35893714330314),45.35893714330314,9.372433487067777
344,CASALPUSTERLENGO,1217.0,LO,POINT (9.62946575392095 45.19524858680546),45.19524858680546,9.62946575392095
345,CASELLE LURANI,1218.0,LO,POINT (9.361615271015671 45.27267196039816),45.272671960398156,9.36161527101567
346,CASTIGLIONE D`ADDA,1219.0,LO,POINT (9.701595188788289 45.22264007208172),45.22264007208172,9.70159518878829
347,GARBAGNATE MONASTERO,1168.0,LC,POINT (9.303990871103444 45.7673152371063),45.767315237106295,9.303990871103444
348,CASTIRAGA VIDARDO,1220.0,LO,POINT (9.398190163044031 45.26419857445154),45.26419857445154,9.398190163044031
349,GARLATE,1169.0,LC,POINT (9.40039171832227 45.81072251958434),45.81072251958434,9.40039171832227
350,IMBERSAGO,1170.0,LC,POINT (9.445497315431268 45.7071216686056),45.7071216686056,9.445497315431268
351,LECCO,1171.0,LC,POINT (9.42278696349943 45.85791458429262),45.85791458429262,9.42278696349943
352,LIERNA,1172.0,LC,POINT (9.316590562030836 45.96074774203637),45.96074774203637,9.316590562030836
353,MISSAGLIA,1177.0,LC,POINT (9.345483880665277 45.70132102001017),45.70132102001017,9.345483880665277
354,MOLTENO,1178.0,LC,POINT (9.302067661536894 45.7817943537169),45.781794353716904,9.302067661536894
355,MONTE MARENZO,1179.0,LC,POINT (9.454398094885487 45.7697367425513),45.7697367425513,9.454398094885487
356,MONTEVECCHIA,1180.0,LC,POINT (9.372719590665447 45.70466367419316),45.704663674193164,9.372719590665447
357,MONTICELLO BRIANZA,1181.0,LC,POINT (9.309411737944373 45.71287266553681),45.712872665536814,9.309411737944373
358,NIBIONNO,1182.0,LC,POINT (9.263366754101787 45.75012645783096),45.75012645783096,9.263366754101787
359,OGGIONO,1183.0,LC,POINT (9.34540702302708 45.79171833492954),45.79171833492954,9.34540702302708
360,OLGIATE MOLGORA,1184.0,LC,POINT (9.399231631957752 45.73027864809825),45.73027864809825,9.399231631957752
361,OSNAGO,1187.0,LC,POINT (9.387737805462152 45.67729112322382),45.67729112322382,9.387737805462152
362,PADERNO D`ADDA,1188.0,LC,POINT (9.453470582321282 45.67477035304427),45.67477035304427,9.453470582321282
363,PASTURO,1189.0,LC,POINT (9.42159957617935 45.94503765387916),45.94503765387916,9.42159957617935
364,PEREGO,1190.0,LC,POINT (9.357948557088786 45.73184602968022),45.73184602968022,9.357948557088786
365,PERLEDO,1191.0,LC,POINT (9.300824522173647 46.01881248178768),46.018812481787684,9.300824522173647
366,PESCATE,1192.0,LC,POINT (9.396163004698462 45.83099887998119),45.83099887998119,9.396163004698462
