,IDStation,PM10,Latitude,Longitude,Altitude
0,517,17.811549183592234,45.5265508699425,8.73649657837922,141.0
1,528,20.4840048840049,45.4633467406665,9.19532480766886,116.0
2,531,21.6904761904762,45.4836303532325,9.32736003321514,114.0
3,542,19.383117043628733,45.6617621918917,9.1566439845516,222.0
4,546,20.939013169639797,45.4624157911066,8.88021043312557,137.0
5,548,24.798168060533637,45.470499014097,9.19746036011253,118.0
6,554,20.56738351254477,45.626218960836,9.04006309067821,212.0
7,558,15.21423451100872,45.5828942927177,8.84216545670608,206.0
8,560,19.158730158730165,45.8169732332637,8.82024070715821,383.0
9,561,19.86538461538463,45.8150428601129,9.06697137484454,202.0
10,564,15.602508960573468,45.808573806923,9.22177920448843,279.0
11,565,16.320071684587834,45.7308367226743,9.12573432702293,369.0
12,569,14.256545923212565,46.1679668122783,9.87014407497457,307.0
13,571,9.31290322580646,46.4695239713258,10.375432759159,1225.0
14,572,14.969731800766299,46.1322829600037,9.56617989398447,262.0
15,574,18.77562724014337,45.8501911945785,9.39557706689322,214.0
16,576,23.351900972590602,45.6979519897024,9.4061909386866,279.0
17,583,20.838153503893235,45.6910374054721,9.64365057946138,249.0
18,584,21.411877394636033,45.6956803443269,9.66124914606551,249.0
19,592,21.044444444444434,45.5193349813872,9.59200999488842,191.0
20,595,21.41707717569787,45.6338645090807,9.55608425579086,190.0
21,596,20.195340501792135,45.6205556793956,9.61173782181237,182.0
22,598,17.4312322333457,45.0819866969786,9.70078817718398,50.0
23,600,17.694082588335466,45.3060129875238,9.48526286320174,80.0
24,604,20.9250896057348,45.3303610018123,9.41464472662726,85.0
25,608,24.719155714854598,45.1593728023411,9.69814824935254,59.0
26,609,21.31452991452993,45.4982271339449,9.55623226235176,108.0
27,627,20.528627169931532,45.1319469128517,10.015741513336,39.0
28,629,22.543369175627266,45.3663090781943,9.70394551361317,79.0
29,633,26.177777777777766,45.2839771544676,9.86339841999363,70.0
30,642,19.91245775729647,45.1946760990779,9.16463830063009,77.0
31,643,26.364652082560866,45.1863290804948,9.14666604128678,77.0
32,649,22.76245059288537,45.5400578469714,10.2228184492742,149.0
33,654,17.723809523809532,45.6496267122407,10.205090218837,269.0
34,655,24.607362423151898,45.8746021098904,10.1773568089814,221.0
35,659,22.784299516908234,45.6460496337252,10.389295302792,349.0
36,661,27.488756613756635,45.5157082948446,10.3362404229965,147.0
37,663,21.56659765355413,45.145260125789,10.8033259500793,18.0
38,664,19.856477821695233,45.1517433795766,10.7814077000957,18.0
39,669,24.936111111111103,45.5130388186538,10.1919418887793,70.0
40,670,20.6542380324989,45.1605683301058,10.7955641137079,22.0
41,673,18.066666666666666,44.9995459891403,9.00843738181569,90.0
42,674,20.5056252489048,45.5802634844224,9.27357309271327,162.0
43,677,24.4447181171319,45.1425406322169,10.0438361583694,43.0
44,679,16.317204301075268,45.8422072610225,9.35165816612796,247.0
45,681,16.797619047619033,45.9127875203029,9.49753816765342,1194.0
46,683,24.355725840783304,45.526472545851,9.5159804836271,133.0
47,685,18.262007168458798,45.6904290785451,9.48426092764779,273.0
48,687,17.242652329749067,45.6192437799476,8.75697044545343,215.0
49,690,13.625780682643432,45.0696586413859,8.86888929943922,73.0
50,693,17.8290322580645,45.1027662768414,8.90417452771467,85.0
51,695,17.8193236714976,45.4127716916863,10.6833573437868,113.0
52,697,24.61719806763283,45.0465015381673,11.1809358191275,14.0
53,703,22.097318007662835,45.0168778207554,11.0760946326405,
54,705,19.869696969696964,45.4789960616874,9.2354910384975,122.0
55,706,14.159139784946236,45.8637488412797,9.39995034468185,272.0
56,708,18.491127833519133,45.2819356103579,8.75433459453983,112.0
57,709,20.856989247311834,45.3036078696557,8.84480460996544,109.0
58,1264,14.892646150043234,46.1678524406651,9.8792099244699,290.0
59,1265,20.948028673835132,45.3027835030958,9.49527369692632,76.0
60,1266,20.517562724014336,45.2334936413037,9.66625037529603,65.0
61,1269,22.7905982905983,45.6497025123625,9.60122333878526,207.0
62,1297,24.112903225806466,45.1504688698568,9.93059647227233,48.0
63,1374,16.897998619737766,45.6012321995514,9.27507265782848,181.0
