,IDStation,NO2,Latitude,Longitude,Altitude
0,501,45.858606529366,45.496316443651,9.19093355531362,129.0
1,504,31.963951524294064,45.5347657650922,9.23610792341164,139.0
2,514,26.261407520561136,45.5234256620035,9.04459987111101,152.0
3,517,12.468143258789413,45.5265508699425,8.73649657837922,141.0
4,528,33.48927334792546,45.4633467406665,9.19532480766886,116.0
5,529,35.795406075638674,45.5523257874121,9.22776423327263,149.0
6,531,22.435394663326402,45.4836303532325,9.32736003321514,114.0
7,539,27.801897441306835,45.4438576535649,9.16794450174268,115.0
8,542,26.096755787016566,45.6617621918917,9.1566439845516,222.0
9,544,32.58358319795777,45.5510419443724,9.16261365315132,153.0
10,545,13.910391193036935,45.2819561974278,8.98856272679325,100.0
11,546,29.53538994727933,45.4624157911066,8.88021043312557,137.0
12,548,39.8627052238351,45.470499014097,9.19746036011253,118.0
13,551,20.571848387262932,45.5485173574195,8.84732192921626,182.0
14,552,14.983365299774166,45.8369007765555,8.80392612667495,425.0
15,554,14.889828255675035,45.626218960836,9.04006309067821,212.0
16,558,22.149613037821336,45.5828942927177,8.84216545670608,206.0
17,560,23.035061340671266,45.8169732332637,8.82024070715821,383.0
18,561,32.63304760743383,45.8150428601129,9.06697137484454,202.0
19,564,14.557404020387766,45.808573806923,9.22177920448843,279.0
20,565,18.6734735176453,45.7308367226743,9.12573432702293,369.0
21,569,16.432016151489833,46.1679668122783,9.87014407497457,307.0
22,571,7.619641537167014,46.4695239713258,10.375432759159,1225.0
23,572,9.906398098030367,46.1322829600037,9.56617989398447,262.0
24,573,14.443833895683198,46.1381409051264,9.38468724765179,229.0
25,574,31.023118549221504,45.8501911945785,9.39557706689322,214.0
26,576,27.12252369432393,45.6979519897024,9.4061909386866,279.0
27,583,21.013510132311335,45.6910374054721,9.64365057946138,249.0
28,584,31.9399421790211,45.6956803443269,9.66124914606551,249.0
29,588,19.547061583058333,45.7162999241173,10.0447659993684,191.0
30,592,29.905935293916738,45.5193349813872,9.59200999488842,191.0
31,595,12.296959024069132,45.6338645090807,9.55608425579086,190.0
32,596,16.192520674395766,45.6205556793956,9.61173782181237,182.0
33,598,16.3422731679938,45.0819866969786,9.70078817718398,50.0
34,600,25.27171756143473,45.3060129875238,9.48526286320174,80.0
35,604,17.4880471316181,45.3303610018123,9.41464472662726,85.0
36,606,34.4010359568872,45.3961946255272,9.28270007555784,97.0
37,607,16.2940982867317,45.3095022692823,9.58579041612041,64.0
38,608,22.355238330173933,45.1593728023411,9.69814824935254,59.0
39,609,24.060854641511366,45.4982271339449,9.55623226235176,108.0
40,626,12.177530728773766,45.2784875547884,10.0062023912043,57.0
41,627,19.411282668327434,45.1319469128517,10.015741513336,39.0
42,629,24.09061139747297,45.3663090781943,9.70394551361317,79.0
43,633,16.682651079855102,45.2839771544676,9.86339841999363,70.0
44,642,18.430221001197598,45.1946760990779,9.16463830063009,77.0
45,643,26.29817751922963,45.1863290804948,9.14666604128678,77.0
46,649,26.990091040740598,45.5400578469714,10.2228184492742,149.0
47,652,62.5053218723954,45.539529434956,10.2317859074772,154.0
48,654,18.243787174310267,45.6496267122407,10.205090218837,269.0
49,655,19.288819187816234,45.8746021098904,10.1773568089814,221.0
50,656,14.441443701422903,45.2495436247462,10.2991194960641,47.0
51,657,13.134396440510033,45.4637531362103,10.4807720435713,180.0
52,659,15.478712066471667,45.6460496337252,10.389295302792,349.0
53,661,16.678866734010267,45.5157082948446,10.3362404229965,147.0
54,663,20.9015582376762,45.145260125789,10.8033259500793,18.0
55,664,18.066381691204935,45.1517433795766,10.7814077000957,18.0
56,665,15.589048503026634,44.9246940495507,10.5175020671178,37.0
57,669,22.158496037657432,45.5130388186538,10.1919418887793,70.0
58,670,15.639051517901331,45.1605683301058,10.7955641137079,22.0
59,672,9.509909722553736,45.0400765720296,8.91414459900241,74.0
60,673,14.098518883817666,44.9995459891403,9.00843738181569,90.0
61,674,32.1539857744995,45.5802634844224,9.27357309271327,162.0
62,677,23.148499748842937,45.1425406322169,10.0438361583694,43.0
63,679,11.584478888736216,45.8422072610225,9.35165816612796,247.0
64,681,8.154891830056753,45.9127875203029,9.49753816765342,1194.0
65,682,13.454231036742769,45.1135031448296,8.87406484888261,88.0
66,683,22.856944444444434,45.526472545851,9.5159804836271,133.0
67,685,14.916912649207033,45.6904290785451,9.48426092764779,273.0
68,687,15.106539113076465,45.6192437799476,8.75697044545343,215.0
69,693,15.033791394359966,45.1027662768414,8.90417452771467,85.0
70,695,14.981966366220867,45.4127716916863,10.6833573437868,113.0
71,697,9.478585835359626,45.0465015381673,11.1809358191275,14.0
72,703,9.276466132278308,45.0168778207554,11.0760946326405,
73,705,29.4337177535583,45.4789960616874,9.2354910384975,122.0
74,706,13.141425301901634,45.8637488412797,9.39995034468185,272.0
75,708,13.485174417876033,45.2819356103579,8.75433459453983,112.0
76,709,13.7380806172703,45.3036078696557,8.84480460996544,109.0
77,1264,10.071134749828575,46.1678524406651,9.8792099244699,290.0
78,1265,19.39104838709677,45.3027835030958,9.49527369692632,76.0
79,1266,15.8605251818145,45.2334936413037,9.66625037529603,65.0
80,1269,18.0479748576305,45.6497025123625,9.60122333878526,207.0
81,1274,10.779453598129457,46.0158283043838,9.28640920868081,212.0
82,1297,13.14886491094259,45.1504688698568,9.93059647227233,48.0
83,1374,42.678700908170526,45.6012321995514,9.27507265782848,181.0
