IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,20/12/2008,,5059922,550116,45.691037405472144,9.643650579461383,"(45.69103740547214, 9.643650579461385)",25.482993197278912,1
9859,Monossido di Carbonio,mg/m³,673,Voghera - via Pozzoni,90.0,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914025,9.008437381815693,"(44.99954598914026, 9.008437381815693)",-7.838498312711083,1
12613,Nikel,ng/m³,670,Mantova - S.Agnese,22.0,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.795564113707881,"(45.16056833010576, 10.79556411370788)",3.757916666666665,1
6364,Ossidi di Azoto,µg/m³,517,Turbigo,141.0,MI,Turbigo,N,11/01/1990,,5041480,479423,45.52655086994246,8.736496578379215,"(45.52655086994247, 8.736496578379215)",-167.283122362869,1
6915,PM10 (SM2005),µg/m³,554,Saronno - via Santuario,212.0,VA,Saronno,N,16/12/2003,,5052520,503123,45.62621896083601,9.040063090678212,"(45.626218960836006, 9.04006309067821)",31.261744966442954,1
5577,Biossido di Azoto,µg/m³,574,Lecco - Via Amendola,214.0,LC,Lecco,N,17/02/1991,,5077479,530713,45.85019119457854,9.395577066893225,"(45.850191194578535, 9.395577066893223)",-57.15348706411697,1
10507,Biossido di Azoto,µg/m³,1269,Dalmine - via Verdi,207.0,BG,Dalmine,N,12/02/2010,,5055304,546847,45.649702512362474,9.601223338785262,"(45.64970251236247, 9.601223338785262)",-70.5645097485165,1
6248,Ossidi di Azoto,µg/m³,574,Lecco - Via Amendola,214.0,LC,Lecco,N,01/01/1991,,5077479,530713,45.85019119457854,9.395577066893225,"(45.850191194578535, 9.395577066893223)",-18.981749156355477,1
6784,Ossidi di Azoto,µg/m³,652,Brescia - via Turati,154.0,BS,Brescia,N,01/10/1999,,5043626,596168,45.539529434955995,10.231785907477224,"(45.539529434955995, 10.231785907477223)",165.02037589498826,1
9991,Ozono,µg/m³,681,Moggio,1194.0,LC,Moggio,N,12/07/2006,,5084478,538586,45.91278752030293,9.497538167653424,"(45.91278752030292, 9.497538167653424)",73.88543307086601,1
9880,Monossido di Carbonio,mg/m³,674,Monza - via Machiavelli,162.0,MB,Monza,N,21/10/2005,,5047450,521343,45.580263484422424,9.273573092713274,"(45.58026348442243, 9.273573092713274)",-5.183380925185525,1
10352,PM10 (SM2005),µg/m³,517,Turbigo,141.0,MI,Turbigo,N,01/01/2008,,5041480,479423,45.52655086994246,8.736496578379215,"(45.52655086994247, 8.736496578379215)",-108.45205479452055,1
6686,Biossido di Zolfo,µg/m³,642,Pavia - via Folperti,77.0,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",-156.60429136081328,1
5595,Biossido di Azoto,µg/m³,592,Treviglio,191.0,BG,Treviglio,N,02/06/1991,,5040815,546236,45.51933498138716,9.592009994888423,"(45.51933498138716, 9.592009994888425)",-6.15311355311358,1
9918,Ossidi di Azoto,µg/m³,664,Mantova - p.zza Gramsci,18.0,MN,Mantova,N,08/06/2004,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)",-283.26495021337143,1
5691,Biossido di Zolfo,µg/m³,608,Codogno - via Trento,59.0,LO,Codogno,N,13/01/2000,,5000892,554872,45.15937280234111,9.698148249352538,"(45.15937280234111, 9.69814824935254)",-195.8577751892832,1
