IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
5721,Ozono,µg/m³,545,Motta Visconti (aria),100.0,MI,Motta Visconti,N,17/03/1998,,5014273,499103,45.281956197427846,8.988562726793255,"(45.281956197427846, 8.988562726793255)",50.77004002287014,1
5735,Ozono,µg/m³,576,Merate,279.0,LC,Merate,N,17/02/1991,,5060569,531623,45.69795198970243,9.406190938686596,"(45.69795198970243, 9.406190938686596)",42.1267775229358,1
5561,Biossido di Azoto,µg/m³,558,Busto Arsizio - Accam,206.0,VA,Busto Arsizio,N,06/12/1998,,5047718,487687,45.582894292717725,8.842165456706075,"(45.582894292717725, 8.842165456706075)",20.63382857142857,1
5542,Biossido di Azoto,µg/m³,539,Milano - viale Liguria,115.0,MI,Milano,N,24/10/1991,,5032273,513134,45.443857653564926,9.167944501742676,"(45.443857653564926, 9.167944501742676)",50.27477142857151,1
5683,Biossido di Zolfo,µg/m³,573,Colico,229.0,LC,Colico,N,17/02/1991,,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)",-127.3793310463122,1
5832,Monossido di Carbonio,mg/m³,514,Rho - via Statuto,152.0,MI,Rho,N,02/10/1991,,5041100,503483,45.52342566200348,9.044599871111004,"(45.523425662003476, 9.044599871111005)",-319.18062303514785,1
12620,Arsenico,ng/m³,542,Meda,222.0,MB,Meda,N,18/04/2008,,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)",1.3826086956521744,1
10083,PM10 (SM2005),µg/m³,695,Ponti sul Mincio,113.0,MN,Ponti sul Mincio,N,20/12/2006,,5030184,631718,45.41277169168634,10.683357343786836,"(45.41277169168634, 10.683357343786835)",37.342465753424655,1
9899,Ozono,µg/m³,609,Casirate d`Adda,108.0,BG,Casirate d'Adda,N,01/12/2005,,5038450,543458,45.49822713394494,9.55623226235176,"(45.49822713394494, 9.556232262351761)",-191.75545533895854,1
5710,Ozono,µg/m³,544,Cormano,153.0,MI,Cormano,N,03/11/1994,,5044180,512693,45.551041944372415,9.162613653151322,"(45.551041944372415, 9.162613653151322)",-1993.5549014004016,1
20442,Monossido di Azoto,µg/m³,681,Moggio,1194.0,LC,Moggio,N,16/03/2007,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",-64.54996397694518,1
12675,Cadmio,ng/m³,1264,Sondrio - via Paribelli,290.0,SO,Sondrio,N,01/04/2008,,5113073,567873,46.16785244066512,9.879209924469905,"(46.167852440665115, 9.879209924469903)",0.11503999999999996,1
12607,Nikel,ng/m³,546,Magenta,137.0,MI,Magenta,N,15/04/2008,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)",3.1140399999999993,1
6280,Ossidi di Azoto,µg/m³,604,Tavazzano,85.0,LO,Tavazzano con Villavesco,N,13/01/2000,,5019734,532492,45.33036100181227,9.414644726627262,"(45.33036100181227, 9.414644726627262)",-55.46956521739137,1
6428,Ossidi di Azoto,µg/m³,633,Soresina,70.0,CR,Soresina,N,01/01/2002,,5014860,567712,45.28397715446764,9.863398419993636,"(45.28397715446764, 9.863398419993635)",-1430.0053807703591,1
5959,Biossido di Zolfo,µg/m³,629,Crema - via XI febbraio,79.0,CR,Crema,N,01/11/1992,,5023885,555127,45.366309078194334,9.703945513613167,"(45.366309078194334, 9.703945513613167)",-480.24620000000004,1
10457,Ossidi di Azoto,µg/m³,1266,Bertonico,65.0,LO,Bertonico,N,03/08/2009,,5009105,552297,45.23349364130374,9.666250375296032,"(45.23349364130374, 9.666250375296032)",35.635687732341964,1
5662,Biossido di Zolfo,µg/m³,592,Treviglio,191.0,BG,Treviglio,N,02/06/1991,,5040815,546236,45.51933498138716,9.592009994888423,"(45.51933498138716, 9.592009994888425)",-1.0423956546597986,1
6398,Ossidi di Azoto,µg/m³,554,Saronno - via Santuario,212.0,VA,Saronno,N,28/03/1997,,5052520,503123,45.626218960836006,9.04006309067821,"(45.626218960836006, 9.04006309067821)",60.993828571428544,1
10167,Biossido di Azoto,µg/m³,703,Schivenoglia,,MN,Schivenoglia,N,29/11/2006,,4986922,663580,45.01687782075543,11.07609463264049,"(45.016877820755425, 11.07609463264049)",-279.3725473071323,1
10384,Benzene,µg/m³,693,Sannazzaro de' Burgondi - AGIP,85.0,PV,Sannazzaro de' Burgondi,N,01/01/2007,,4994371,492461,45.10276627684137,8.90417452771467,"(45.10276627684137, 8.90417452771467)",-1026.7143835616441,1
17159,Particelle sospese PM2.5,µg/m³,633,Soresina,70.0,CR,Soresina,N,11/10/2012,,5014860,567712,45.28397715446764,9.863398419993636,"(45.28397715446764, 9.863398419993635)",31.94814814814815,1
17163,Benzene,µg/m³,655,Darfo (aria),221.0,BS,Darfo Boario Terme,N,05/10/2012,,5080789,591371,45.87460210989037,10.17735680898138,"(45.87460210989037, 10.17735680898138)",-137.61805555555551,1
9917,Ossidi di Azoto,µg/m³,663,Mantova - via Ariosto,18.0,MN,Mantova,N,05/06/2004,,5000669,641770,45.14526012578896,10.80332595007927,"(45.14526012578896, 10.80332595007927)",13.991279069767465,1
12591,Piombo,ng/m³,669,Brescia - Villaggio Sereno,70.0,BS,Brescia,N,01/04/2008,,5040636,593101,45.51303881865376,10.19194188877931,"(45.513038818653754, 10.19194188877931)",17.95130769230769,1
6804,Ozono,µg/m³,654,Sarezzo - via Minelli,269.0,BS,Sarezzo,N,12/03/2004,,5055826,593900,45.64962671224069,10.205090218837002,"(45.64962671224069, 10.205090218837002)",-45.10530973451322,1
6354,Ossidi di Azoto,µg/m³,548,Milano - via Senato,118.0,MI,Milano,N,21/04/1995,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",82.12712978845045,1
5750,Ozono,µg/m³,552,Varese - Vidoletti,425.0,VA,Varese,N,23/12/1991,,5075945,484773,45.83690077655548,8.80392612667495,"(45.83690077655548, 8.80392612667495)",53.705952728333806,1
